Time,電圧上限値,電圧下限値,bus1の電圧,bus1の電圧上限違反値,bus1の電圧下限違反値,bus1の有効電力,bus1の電圧降下,bus2の電圧,bus2の電圧上限違反値,bus2の電圧下限違反値,bus2の有効電力,bus2の電圧降下,bus3の電圧,bus3の電圧上限違反値,bus3の電圧下限違反値,bus3の有効電力,bus3の電圧降下
2003/4/1 0:00,107.0,95.0,100.00068795815437,0.0,0.0,3.6677234999999655,0.20068795815437568,100.11030213096255,0.0,0.0,1.4670894,0.10961417280818034,100.16886594899191,0.0,0.0,0.7335447,0.05856381802936236
2003/4/1 0:30,107.0,95.0,99.86752295143475,0.0,0.0,1.2343895000003613,0.06752295143475351,99.90431835796382,0.0,0.0,0.4937558,0.03679540652907283,99.92397790156632,0.0,0.0,0.2468779,0.019659543602506692
2003/4/1 1:00,107.0,95.0,99.84894329138031,0.0,0.0,0.894881999999825,0.04894329138031139,99.89343196354592,0.0,0.0,0.596588,0.04448867216560941,99.9172017239628,0.0,0.0,0.298294,0.02376976041688288
2003/4/1 1:30,107.0,95.0,99.93347502895759,0.0,0.0,2.439536682133621,0.13347502895759078,100.03776718000887,0.0,0.0,1.395952482133751,0.10429215105128377,100.14928405367839,0.0,0.0,1.395952482133751,0.11151687366951754
2003/4/1 2:00,107.0,95.0,99.8190385963662,0.0,0.0,0.3484312999996746,0.019038596366200977,99.83192799626032,0.0,0.0,0.17421565,0.01288939989410106,99.8318520543694,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 2:30,107.0,95.0,99.84241207495342,0.0,0.0,0.7755366000001231,0.042412074953418255,99.861608018434,0.0,0.0,0.2585122,0.019195943480580662,99.86153207654309,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 3:00,107.0,95.0,99.82396414150512,0.0,0.0,0.43843614999991587,0.023964141505118164,99.85662087588315,0.0,0.0,0.43843615,0.03265673437803229,99.89159363733148,0.0,0.0,0.43843615,0.03497276144832692
2003/4/1 3:30,107.0,95.0,99.83118516798336,0.0,0.0,0.5703865000000405,0.03118516798336657,99.87371360687987,0.0,0.0,0.5703865,0.042528438896499994,99.89643608983053,0.0,0.0,0.28519325,0.0227224829506624
2003/4/1 4:00,107.0,95.0,99.81845819593136,0.0,0.0,0.33782560000008743,0.018458195931359,99.83095086956966,0.0,0.0,0.1689128,0.012492673638310482,99.83087492767875,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 4:30,107.0,95.0,99.88128431705243,0.0,0.0,1.4858519499998692,0.081284317052436,99.96165504366279,0.0,0.0,1.0762062497,0.08037072661035365,100.0476113178142,0.0,0.0,1.0762062497,0.08595627415141639
2003/4/1 5:00,107.0,95.0,99.81077903082925,0.0,0.0,0.19750364909987184,0.01077903082925502,99.82048536242682,0.0,0.0,0.1316690994,0.009706331597554407,99.83093508363147,0.0,0.0,0.1316690994,0.010449721204654004
2003/4/1 5:30,107.0,95.0,99.81080020232474,0.0,0.0,0.1978905174000829,0.0108002023247451,99.820525829309,0.0,0.0,0.13192701159999998,0.009725626984266968,99.83099616808406,0.0,0.0,0.13192701159999998,0.010470338775046793
2003/4/1 6:00,107.0,95.0,99.8302000360585,0.0,0.0,0.5523851115999605,0.030200036058502633,99.85071871379664,0.0,0.0,0.2761925557999999,0.020518677738117497,99.85064277190573,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 6:30,107.0,95.0,99.85469954764847,0.0,0.0,1.000066495799956,0.05469954764846818,99.91690169147789,0.0,0.0,0.8333554985999999,0.06220214382942776,99.91682574958698,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 7:00,107.0,95.0,99.83819899057056,0.0,0.0,0.6985505980001108,0.03819899057056375,99.8903158701596,0.0,0.0,0.6985505980000002,0.05211687958901759,99.89023992826868,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 7:30,107.0,95.0,99.87524005526056,0.0,0.0,1.3754047080001328,0.07524005526056499,99.9436952076858,0.0,0.0,0.9169364720000002,0.0684551524252421,99.9436192657949,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 8:00,107.0,95.0,99.80713549971338,0.0,0.0,0.13092513600008715,0.007135499713385229,99.80699116821312,0.0,0.0,0.0,-0.0001443315002665,99.8069152263222,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 8:30,107.0,95.0,99.79997057840984,0.0,0.0,0.0,-2.9421590156175625e-05,99.79982624690959,0.0,0.0,0.0,-0.0001443315002665,99.79975030501868,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 9:00,107.0,95.0,99.89837980146979,0.0,0.0,1.7982389989999774,0.09837980146978964,100.03276852768187,0.0,0.0,1.798238999,0.13438872621207104,100.03269258579095,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 9:30,107.0,95.0,99.87444707918975,0.0,0.0,1.3609145977088701,0.07444707918975269,99.97611791364737,0.0,0.0,1.3609145977088173,0.10167083445761678,100.08483384944522,0.0,0.0,1.3609145977088173,0.10871593579784831
2003/4/1 10:00,107.0,95.0,99.79997057840984,0.0,0.0,0.0,-2.9421590156175625e-05,99.79982624690959,0.0,0.0,0.0,-0.0001443315002665,99.79975030501868,0.0,0.0,0.0,-7.594189090652514e-05
2003/4/1 10:30,107.0,95.0,99.80010622543404,0.0,0.0,0.002478688088558556,0.00010622543403826512,99.79996189393378,0.0,0.0,0.0,-0.0001443315002665,99.79988595204287,0.0,0.0,0.0,-7.594189090652514e-05
