Time,í~ìdó [kWh],í~ìdíróeó è„å¿[kWh],í~ìdíróeó â∫å¿[kWh]
2003/4/1 0:00,3.15,6.3,1.26
2003/4/1 0:30,3.15,6.3,1.26
2003/4/1 1:00,3.15,6.3,1.26
2003/4/1 1:30,2.6007451578947367,6.3,1.26
2003/4/1 2:00,2.6007451578947367,6.3,1.26
2003/4/1 2:30,2.6007451578947367,6.3,1.26
2003/4/1 3:00,2.0420273421052633,6.3,1.26
2003/4/1 3:30,2.0420273421052633,6.3,1.26
2003/4/1 4:00,2.0420273421052633,6.3,1.26
2003/4/1 4:30,1.26,6.3,1.26
2003/4/1 5:00,1.26,6.3,1.26
2003/4/1 5:30,1.26,6.3,1.26
2003/4/1 6:00,1.26,6.3,1.26
2003/4/1 6:30,1.9725,6.3,1.26
2003/4/1 7:00,2.470217301075,6.3,1.26
2003/4/1 7:30,3.123534537375,6.3,1.26
2003/4/1 8:00,3.7116556581749998,6.3,1.26
2003/4/1 8:30,3.7373890018124993,6.3,1.26
2003/4/1 9:00,4.449889001812499,6.3,1.26
2003/4/1 9:30,4.449889001812499,6.3,1.26
2003/4/1 10:00,5.1623890018125,6.3,1.26
2003/4/1 10:30,5.1623890018125,6.3,1.26
2003/4/1 11:00,5.1623890018125,6.3,1.26
2003/4/1 11:30,5.8748890018125,6.3,1.26
2003/4/1 12:00,5.8748890018125,6.3,1.26
2003/4/1 12:30,5.8748890018125,6.3,1.26
2003/4/1 13:00,5.8748890018125,6.3,1.26
2003/4/1 13:30,5.8748890018125,6.3,1.26
2003/4/1 14:00,5.8748890018125,6.3,1.26
2003/4/1 14:30,5.8748890018125,6.3,1.26
2003/4/1 15:00,5.8748890018125,6.3,1.26
2003/4/1 15:30,6.2024075403925,6.3,1.26
2003/4/1 16:00,6.2024075403925,6.3,1.26
2003/4/1 16:30,6.3,6.3,1.26
2003/4/1 17:00,6.3,6.3,1.26
2003/4/1 17:30,6.3,6.3,1.26
2003/4/1 18:00,6.3,6.3,1.26
2003/4/1 18:30,6.3,6.3,1.26
2003/4/1 19:00,6.052060578947368,6.3,1.26
2003/4/1 19:30,6.052060578947368,6.3,1.26
2003/4/1 20:00,6.052060578947368,6.3,1.26
2003/4/1 20:30,6.052060578947368,6.3,1.26
2003/4/1 21:00,6.052060578947368,6.3,1.26
2003/4/1 21:30,6.052060578947368,6.3,1.26
2003/4/1 22:00,5.518421052631579,6.3,1.26
2003/4/1 22:30,4.728947368421053,6.3,1.26
2003/4/1 23:00,3.939473684210526,6.3,1.26
2003/4/1 23:30,3.15,6.3,1.26
