,DATE,ígó‚ñ[ä∑ãC[kW*min],ããìí[kW*30min],è∆ñæ[kW*30min],ê~ñ[[kW*30min],ó‚ë†å…[kW*30min],å‚äyèÓïÒ[kW*30min],â∆éñâqê∂[kW*30min],ÇªÇÃëº[kW*30min],î≠ê∂ÉGÉlÉãÉMÅ[[kW*30min],çáåv[kW*30min]
0,2004/1/1 0:00,0.2607501,0,0,0.2357579,0.0828162,0.0289537,0.0249505,0.27148785,0,0.90471625
1,2004/1/1 0:30,0.2812943,0,0,0.3050911,0.0671092,0.066164,0.0382667,0.22040535,0,0.97833065
2,2004/1/1 1:00,0.3258577,0,0,0,0.06621265,0.04862915,0.02973905,0.2388437,0,0.70928225
3,2004/1/1 1:30,0.43887165,0,0,0,0.0750878,0.01250305,0.02548565,0.1590855,0,0.71103365
4,2004/1/1 2:00,0.570178,0,0,0,0.09188595,0.01251,0.0253814,0.115092,0,0.81504735
5,2004/1/1 2:30,0.5237798,0,0,0,0.07063285,0.01260035,0.02537445,0.12417565,0,0.7565631
6,2004/1/1 3:00,0.52200755,0,0,0,0.0666922,0.0125795,0.0255899,0.12715025,0,0.7540194
7,2004/1/1 3:30,0.5255034,0,0,0,0.0670397,0.0126212,0.0253119,0.1198736,0,0.7503498
8,2004/1/1 4:00,0.5232099,0,0,0,0.08235055,0.01266985,0.02531885,0.11475145,0,0.7583006
9,2004/1/1 4:30,0.4658307,0,0,0,0.08878625,0.0125795,0.02260835,0.13134805,0,0.72115285
10,2004/1/1 5:00,0.3258299,0,0,0,0.06814475,0.0124683,0.02498525,0.150259,0,0.5816872
11,2004/1/1 5:30,0.0062828,0,0,0,0.0666227,0.0546131,0.0253675,0.1127151,0,0.2656012
12,2004/1/1 6:00,0,0,0,0,0.0669424,0.03197695,0.02540225,0.1085868,0,0.2329084
13,2004/1/1 6:30,0,0,0,0,0.08522785,0.01260035,0.02566635,0.10973355,0,0.2332281
14,2004/1/1 7:00,0,0,0,0,0.0860688,0.01268375,0.0232964,0.11483485,0,0.2368838
15,2004/1/1 7:30,0,0,0,0,0.06870075,0.0127741,0.0232964,0.11673915,0,0.2215104
16,2004/1/1 8:00,0,0,0,0,0.0666644,0.0127741,0.0291344,0.0858603,0,0.1944332
17,2004/1/1 8:30,0,0,0,0,0.1029017,0.0126768,0.02595825,0.0805644,0,0.22210115
18,2004/1/1 9:00,0,0,0,0.1776003,0.10614735,0.01258645,0.03568825,0.09046815,0,0.4224905
19,2004/1/1 9:30,0,0,0,0.16014885,0.108142,0.0702784,0.0375161,0.1225702,0,0.49865555
20,2004/1/1 10:00,0,0,0,0.1034994,0.10652265,0.0721966,0.0345971,0.22244865,0,0.5392644
21,2004/1/1 10:30,0,0,0,0.0896411,0.06883975,0.0674845,0.0340967,0.16045465,0,0.4205167
22,2004/1/1 11:00,0,0,0,0,0.0676652,0.0725441,0.02758455,0.13115345,0,0.2989473
23,2004/1/1 11:30,0,0,0,0.0748932,0.0873476,0.0727248,0.02770965,0.1303681,0,0.39304335
24,2004/1/1 12:00,0,0,0,0.0432985,0.08600625,0.07218965,0.02768185,0.0940196,0,0.32319585
25,2004/1/1 12:30,0,0,0,0,0.06977105,0.07237035,0.0267575,0.08151655,0,0.25041545
26,2004/1/1 13:00,0,0,0,0,0.0681239,0.0456754,0.03035065,0.12906845,0,0.2732184
27,2004/1/1 13:30,0,0,0,0,0.06807525,0.07288465,0.0264795,0.12956885,0,0.29700825
28,2004/1/1 14:00,0,0,0,0,0.06854785,0.03563265,0.02641695,0.1843696,0,0.31496705
29,2004/1/1 14:30,0,0,0,0,0.0801335,0.0126907,0.02593045,0.0893909,0,0.20814555
30,2004/1/1 15:00,0,0,0,0,0.08243395,0.0126907,0.0258401,0.08682635,0,0.2077911
31,2004/1/1 15:30,0,0,0,0,0.08054355,0.0126907,0.0259374,0.08055745,0,0.1997291
32,2004/1/1 16:00,0,0,0,0,0.06842275,0.0125934,0.02680615,0.08101615,0,0.18883845
