,DATE,ígó‚ñ[ä∑ãC[kW*min],ããìí[kW*30min],è∆ñæ[kW*30min],ê~ñ[[kW*30min],ó‚ë†å…[kW*30min],å‚äyèÓïÒ[kW*30min],â∆éñâqê∂[kW*30min],ÇªÇÃëº[kW*30min],î≠ê∂ÉGÉlÉãÉMÅ[[kW*30min],çáåv[kW*30min]
0,2004/1/1 0:00,0.3157524,0,0,0,0.0477187,0.1123676,0.02306705,0.2833098,0,0.78221555
1,2004/1/1 0:30,0.4088129,0,0,0,0.04865695,0.12047825,0.2350073,0.5050148,0,1.3179702
2,2004/1/1 1:00,0.31967915,0,0,0.0545853,0.05117285,0.12883215,0.35465155,0.9960879,0,1.9050089
3,2004/1/1 1:30,0.3866285,0,0,0,0.04625225,0.12250765,0.3393129,0.9839532,0,1.8786545
4,2004/1/1 2:00,0.15171155,0,0,0,0.0471905,0.0877368,0.3302223,0.33296755,0,0.9498287
5,2004/1/1 2:30,0.00451055,0,0,0,0.04937975,0.0562255,0.32854735,0.2129063,0,0.65156945
6,2004/1/1 3:00,0.00451055,0,0,0,0.04658585,0.056295,0.27387865,0.2170902,0,0.59836025
7,2004/1/1 3:30,0.00451055,0,0,0,0.0457866,0.0563367,0.03247735,0.19325865,0,0.33236985
8,2004/1/1 4:00,0.00451055,0,0,0,0.04639125,0.0563784,0.0241582,0.19986115,0,0.33129955
9,2004/1/1 4:30,0.00451055,0,0,0,0.04058105,0.0563645,0.0241443,0.168468,0,0.2940684
10,2004/1/1 5:00,0.00451055,0,0,0,0.0403517,0.05639925,0.02713975,0.1705808,0,0.29898205
11,2004/1/1 5:30,0.0045175,0,0,0,0.03983045,0.056434,0.02413735,0.1645343,0,0.2894536
12,2004/1/1 6:00,0.00451055,0,0,0,0.03846825,0.0564757,0.0238246,0.17684275,0,0.30012185
13,2004/1/1 6:30,0.42152445,0,0,0,0.0383084,0.05635755,0.02392885,0.16142765,0,0.7015469
14,2004/1/1 7:00,0.78470365,0,0,0,0.0380999,0.05688575,0.0267992,0.15809165,0,1.06458015
15,2004/1/1 7:30,0.60847945,0,0,0,0.0409216,0.0564062,0.0242416,0.16216435,0,0.8922132
16,2004/1/1 8:00,0.03130975,0,0,0,0.0441464,0.0776037,0.0263405,0.1854399,0,0.36484025
17,2004/1/1 8:30,0.00451055,0,0,0,0.0431734,0.12008905,0.02847415,0.22301855,0,0.4192657
18,2004/1/1 9:00,0.00470515,0,0,0.27567175,0.04318035,0.06746365,0.0209751,0.1292422,0,0.5412382
19,2004/1/1 9:30,0.0048094,0,0,0.02057895,0.07324605,0.06761655,0.0242833,0.10008,0,0.29061425
20,2004/1/1 10:00,0.0045036,0,0,0,0.0538208,0.1268514,0.0240609,0.0586719,0,0.2679086
21,2004/1/1 10:30,0.18597505,0,0,0,0.04972725,0.12812325,0.02701465,0.0581576,0,0.4489978
22,2004/1/1 11:00,0.38296585,0,0,0,0.05560695,0.12577415,0.0239497,0.20000015,0,0.7882968
23,2004/1/1 11:30,0.00449665,0,0,0,0.0820656,0.124683,0.02416515,0.07121665,0,0.30662705
24,2004/1/1 12:00,0.0044897,0,0,0,0.0860549,0.1276576,0.02841855,0.13586555,0,0.3824863
25,2004/1/1 12:30,0.0048233,0,0,0,0.08133585,0.12755335,0.02707025,0.07351015,0,0.3142929
26,2004/1/1 13:00,0.00449665,0,0,0,0.05192345,0.1273796,0.01864685,0.07127225,0,0.2737188
27,2004/1/1 13:30,0.00449665,0,0,0,0.04857355,0.1251278,0.025715,0.07063285,0,0.27454585
28,2004/1/1 14:00,0.00458005,0,0,0,0.0453835,0.12520425,0.0185009,0.10101825,0,0.29468695
29,2004/1/1 14:30,0.005004,0,0,0,0.04258265,0.125934,0.02120445,0.10051785,0,0.29524295
30,2004/1/1 15:00,0.0045036,0,0,0,0.04030305,0.12662205,0.0259235,0.09423505,0,0.29158725
31,2004/1/1 15:30,0.00470515,0,0,0,0.03910765,0.1484798,0.02267785,0.08020995,0,0.2951804
32,2004/1/1 16:00,0.00449665,0,0,0,0.0427981,0.13198745,0.01842445,0.11311125,0,0.3108179
33,2004/1/1 16:30,0.00448275,0,0,0,0.04919905,0.1635613,0.0252146,0.2010635,0,0.4435212
34,2004/1/1 17:00,0.0337492,0,0,0,0.04787855,0.1577511,0.02303925,0.2340065,0,0.4964246
