,DATE,ígó‚ñ[ä∑ãC[kW*min],ããìí[kW*30min],è∆ñæ[kW*30min],ê~ñ[[kW*30min],ó‚ë†å…[kW*30min],å‚äyèÓïÒ[kW*30min],â∆éñâqê∂[kW*30min],ÇªÇÃëº[kW*30min],î≠ê∂ÉGÉlÉãÉMÅ[[kW*30min],çáåv[kW*30min]
0,2003/1/1 0:00,0.2541615,0,0,0.1754597,0.01658965,0.059492,0.29969095,0.1394,0,0.9447938
1,2003/1/1 0:30,0.24546705,0,0,0.2210239,0.02769575,0.06504505,0.4130107,0.2037,0,1.17594245
2,2003/1/1 1:00,0.21442835,0,0,0.0509713,0.03819025,0.0639122,0.0095215,0.2483096,0,0.6253332
3,2003/1/1 1:30,0.2280712,0,0,0.0017931,0.02249715,0.06204265,0.0008479,0.11440395,0,0.42965595
4,2003/1/1 2:00,0.1961985,0,0,0.00180005,0.060187,0.0518748,0.000834,0.1097683,0,0.42066265
5,2003/1/1 2:30,0,0,0,0.0013344,0.04128995,0.0032387,0.0008757,0.0241026,0,0.07084135
6,2003/1/1 3:00,0,0,0,0.00117455,0.03060085,0.00323175,0.0008618,0.01924455,0,0.0551135
7,2003/1/1 3:30,0,0,0,0.00117455,0.03973315,0.00323175,0.00086875,0.02433195,0,0.06934015
8,2003/1/1 4:00,0,0,0,0.00118845,0.02404005,0.00324565,0.0008757,0.01896655,0,0.0483164
9,2003/1/1 4:30,0,0,0,0.00118845,0.01759045,0.0032387,0.0008757,0.01400425,0,0.03689755
10,2003/1/1 5:00,0,0,0,0.0012093,0.0307329,0.00325955,0.0008896,0.0269243,0,0.06301565
11,2003/1/1 5:30,0,0,0,0.0012371,0.03212985,0.0032943,0.0009174,0.0452167,0,0.08279535
12,2003/1/1 6:00,0,0,0,0.00123015,0.0195434,0.0032804,0.00092435,0.0357369,0,0.0607152
13,2003/1/1 6:30,0,0,0,0.0012093,0.0158599,0.00325955,0.0008896,0.0340967,0,0.05531505
14,2003/1/1 7:00,0,0,0,0.0011954,0.02752895,0.00405185,0.0008757,0.0408104,0,0.0744623
15,2003/1/1 7:30,0,0,0,0.00120235,0.0279807,0.0032526,0.0008896,0.04078955,0,0.0741148
16,2003/1/1 8:00,0,0,0,0.0012093,0.02618065,0.0032665,0.0009035,0.0497481,0,0.08130805
17,2003/1/1 8:30,0,0,0,0.0012093,0.01563055,0.0032665,0.0008896,0.0517219,0,0.07271785
18,2003/1/1 9:00,0,0,0,0.0588665,0.01685375,0.0032526,0.0008757,0.0417417,0,0.12159025
19,2003/1/1 9:30,0,0,0,0.82879445,0.025437,0.0032248,0.00084095,0.06074995,0,0.91904715
20,2003/1/1 10:00,0.14462255,0,0,0.0011815,0.0368767,0.0673733,0.0008757,0.0462036,0,0.29713335
21,2003/1/1 10:30,0.46861765,0,0,0.0011815,0.0309414,0.0663169,0.0008757,0.04119265,0,0.6091258
22,2003/1/1 11:00,0.4027386,0,0,0.0011815,0.01902215,0.06846445,0.0008757,0.058519,0,0.5508014
23,2003/1/1 11:30,0.27450415,0,0,0.0011954,0.0237829,0.0655246,0.0009035,0.0448553,0,0.41076585
24,2003/1/1 12:00,0.0294402,0,0,0.0012093,0.0354867,0.00937555,0.00091045,0.0490253,0,0.1254475
25,2003/1/1 12:30,0,0,0,0.0012093,0.03043405,0.0032804,0.00091045,0.04950485,0,0.08533905
26,2003/1/1 13:00,0,0,0,0.0012093,0.01800745,0.0032665,0.00091045,0.0426313,0,0.066025
27,2003/1/1 13:30,0,0,0,0.0012232,0.0228933,0.00325955,0.00091045,0.04463985,0,0.07292635
28,2003/1/1 14:00,0,0,0,0.0012093,0.0319144,0.00325955,0.0009035,0.04730865,0,0.0845954
29,2003/1/1 14:30,0,0,0,0.0012232,0.02993365,0.0032804,0.00091045,0.051291,0,0.0866387
30,2003/1/1 15:00,0,0,0,0.0012093,0.0167495,0.00325955,0.00091045,0.04362515,0,0.06575395
31,2003/1/1 15:30,0,0,0,0.0012093,0.02114885,0.00325955,0.0009035,0.04365295,0,0.07017415
32,2003/1/1 16:00,0,0,0,0.00118845,0.03112905,0.00323175,0.0008757,0.0457866,0,0.08221155
33,2003/1/1 16:30,0,0,0,0.00117455,0.0289676,0.0032387,0.00086875,0.05188175,0,0.08613135
34,2003/1/1 17:00,0,0,0,0.00118845,0.0172777,0.0032526,0.00086875,0.04356955,0,0.06615705
35,2003/1/1 17:30,0,0,0,0.0011815,0.0161518,0.0032387,0.00086875,0.04294405,0,0.0643848
36,2003/1/1 18:00,0,0,0,0.0011815,0.02334505,0.00323175,0.0008618,0.04452865,0,0.07314875
37,2003/1/1 18:30,0.2571778,0,0,0.00117455,0.0262015,0.02067625,0.00085485,0.061021,0,0.36710595
38,2003/1/1 19:00,0.4478441,0,0,0.0011537,0.02940545,0.0676096,0.0008479,0.15303205,0,0.6998928
39,2003/1/1 19:30,0.41467175,0,0,0.0011537,0.02340065,0.06689375,0.0008479,0.1659243,0,0.67289205
40,2003/1/1 20:00,0.2856867,0,0,0.0011676,0.0459256,0.06607365,0.0008479,0.15136405,0,0.5510655
41,2003/1/1 20:30,0.29723065,0,0,0.00111895,0.0580603,0.08244785,0.00082705,0.1068632,0,0.546548
42,2003/1/1 21:00,0.2897455,0,0,0.0011398,0.02347015,0.1256838,0.00084095,0.09423505,0,0.53511525
43,2003/1/1 21:30,0.27503235,0,0,0.0011676,0.0234771,0.1254475,0.0008618,0.10297815,0,0.5289645
44,2003/1/1 22:00,0.26651165,0,0,0.00117455,0.0375578,0.10219975,0.0008757,0.09779345,0,0.5061129
45,2003/1/1 22:30,0.2508394,0,0,0.00118845,0.03136535,0.06407205,0.0008896,0.07255105,0,0.4209059
46,2003/1/1 23:00,0.24687095,0,0,0.00117455,0.018904,0.06443345,0.21933505,0.06650455,0,0.61722255
47,2003/1/1 23:30,0.2567191,0,0,0.28606895,0.03137925,0.0669702,0.51259725,0.08756305,0,1.2412978
48,2003/1/2 0:00,0.2788201,0,0,0.0920736,0.03784275,0.0673455,0.00091045,0.08378225,0,0.56077465
49,2003/1/2 0:30,0.26306445,0,0,0.03837095,0.0186538,0.0632311,0.13498985,0.0821629,0,0.60047305
50,2003/1/2 1:00,0.29033625,0,0,0.00170275,0.02117665,0.06466975,0.5257258,0.236948435,0,1.140559635
51,2003/1/2 1:30,0,0,0,0.0011676,0.03739795,0.02166315,0.0101192,0.11434835,0,0.18469625
52,2003/1/2 2:00,0,0,0,0.00118845,0.02879385,0.0032526,0.003475,0.03666125,0,0.07337115
53,2003/1/2 2:30,0,0,0,0.0011954,0.01702055,0.00325955,0.00345415,0.02606945,0,0.0509991
54,2003/1/2 3:00,0,0,0,0.00117455,0.02442925,0.00323175,0.0033638,0.02488795,0,0.0570873
55,2003/1/2 3:30,0,0,0,0.0011676,0.02918305,0.00323175,0.0033638,0.0285784,0,0.0655246
56,2003/1/2 4:00,0,0,0,0.0011815,0.0280502,0.0032387,0.0033916,0.03516005,0,0.07102205
57,2003/1/2 4:30,0,0,0,0.0011815,0.01608925,0.0032387,0.0033916,0.0242694,0,0.04817045
58,2003/1/2 5:00,0,0,0,0.00120235,0.0157765,0.0032526,0.0034472,0.035028,0,0.05870665
59,2003/1/2 5:30,0,0,0,0.0012093,0.02755675,0.00328735,0.00349585,0.0431873,0,0.07873655
60,2003/1/2 6:00,0,0,0,0.0012232,0.0262849,0.0032804,0.0034889,0.045175,0,0.0794524
61,2003/1/2 6:30,0,0,0,0.0011954,0.02331725,0.0032526,0.00344025,0.0484693,0,0.0796748
62,2003/1/2 7:00,0,0,0,0.00118845,0.02152415,0.0040588,0.02801545,0.0461758,0,0.10096265
63,2003/1/2 7:30,0,0,0,0.00118845,0.017514,0.0032526,0.0754631,0.0409077,0,0.13832585
64,2003/1/2 8:00,0,0,0,0.00118845,0.01804915,0.0032526,0.0079786,0.0463982,0,0.076867
65,2003/1/2 8:30,0,0,0,0.00118845,0.01825765,0.0032526,0.0009313,0.04406995,0,0.06769995
66,2003/1/2 9:00,0,0,0,0.00118845,0.0187372,0.0032526,0.0009452,0.0449109,0,0.06903435
67,2003/1/2 9:30,0,0,0,0.44596065,0.0191542,0.00323175,0.00093825,0.0898218,0,0.55910665
68,2003/1/2 10:00,0,0,0,0.31463345,0.02486015,0.0079369,0.0008618,0.0452862,0,0.3935785
69,2003/1/2 10:30,0,0,0,0.00118845,0.0293012,0.06760265,0.0008757,0.0421726,0,0.1411406
70,2003/1/2 11:00,0,0,0,0.00118845,0.02819615,0.0661501,0.0008757,0.04101195,0,0.13742235
71,2003/1/2 11:30,0,0,0,0.00118845,0.01955035,0.0652466,0.0009035,0.03750915,0,0.12439805
72,2003/1/2 12:00,0,0,0,0.0012093,0.0171526,0.0672482,0.0009035,0.04402825,0,0.13054185
