Time,HPããìíã@è¡îÔìdóÕ[kWÅE30ï™],îMé˘óv[kWÅE30ï™],îMêªë¢ó [MJÅE30ï™],íôìíó [MJ],ê¨ê—åWêî,â^ì]ïœêî,â^ì]äJénïœêî,â^ì]èIóπïœêî,ìdãCóøã‡[JPYÅE30min/kW]
2003/4/1 0:00,1.0563467365338707e-10,0.0,1.1230341101509111e-09,54.39000000112303,4.489879999999999,3.1932172865905145e-10,3.1932172865905145e-10,0.0,6.08
2003/4/1 0:30,2.6323338627967065e-10,0.0,3.439075223234914e-09,54.390000004562104,4.419689999999999,5.352629542123095e-10,3.941271992138981e-10,1.7818597366048123e-10,6.08
2003/4/1 1:00,1.7428020505285224e-10,0.0,2.1001653749408433e-09,54.39000000666227,4.36253,4.318374696511334e-10,3.3873911381803407e-10,4.421696327650602e-10,6.08
2003/4/1 1:30,1.5966177415718202e-10,2.230555597,1.865728904704156e-09,52.159444411528,4.318589999999999,4.092568129481192e-10,3.295096694115371e-10,3.5209536050029544e-10,6.08
2003/4/1 2:00,1.6538167070721207e-10,0.0,1.933877058490907e-09,52.15944441346188,4.329289999999999,4.305083819347802e-10,3.4348399588056173e-10,3.222374612796978e-10,6.08
2003/4/1 2:30,2.5949935187767324e-10,0.0,3.3369985482384667e-09,52.15944441679888,4.339989999999999,5.223480046152722e-10,3.773549876957294e-10,2.8552039940098164e-10,6.08
2003/4/1 3:00,1.5992218756449998e-10,0.0,1.8395525103187538e-09,52.15944441863843,4.269799999999999,4.1598019641855166e-10,3.305754864140946e-10,4.3694832899661216e-10,6.08
2003/4/1 3:30,2.3891889622408335e-10,0.0,2.9575486064573465e-09,52.15944442159598,4.199609999999999,4.735003416171169e-10,3.466093070990552e-10,2.890941962861811e-10,6.08
2003/4/1 4:00,1.5332477692502192e-10,0.0,1.6415313552897715e-09,52.15944442323751,4.138169999999999,4.219445481158779e-10,3.4623120574240974e-10,3.9779203362928707e-10,6.08
2003/4/1 4:30,4.039469163615394e-10,0.0,4.986237566795381e-09,52.15944442822375,4.063509999999999,7.071944790690202e-10,4.867074431965353e-10,2.0146254662932237e-10,6.08
2003/4/1 5:00,2.564598774488611e-10,0.0,2.9989735139679397e-09,52.159444431222724,4.066409999999999,5.443726209476321e-10,4.0232324984061275e-10,5.651501423476391e-10,6.08
2003/4/1 5:30,3.782246354537381e-10,0.0,4.6554884610828425e-09,52.159444435878214,4.06931,6.800592380088788e-10,4.665471510153052e-10,3.3086556834006733e-10,6.08
2003/4/1 6:00,2.8983506249520114e-10,0.0,3.325730801861937e-09,52.159444439203945,4.01662,6.184925097351076e-10,4.62328789096178e-10,5.239005517554286e-10,6.08
2003/4/1 6:30,7.184329820782663e-10,6.910348397,7.833939719148475e-09,45.249096050037885,4.06969,1.8590943967978653e-09,1.44299547559958e-09,2.0239862292254005e-10,6.08
2003/4/1 7:00,2.9481922021089667e-09,3.57180459,3.4191039333109075e-08,41.677291494228925,4.2798799999999995,7.59718343000918e-09,5.9948944036865135e-09,2.56810404860731e-10,14.495
