Time,í~ìdó [kWh],í~ìdíróeó è„å¿[kWh],í~ìdíróeó â∫å¿[kWh]
2003/4/1 0:00,3.0577442367449503,6.3,1.26
2003/4/1 0:30,3.0232429734162873,6.3,1.26
2003/4/1 1:00,3.0019686575018385,6.3,1.26
2003/4/1 1:30,2.9677600258047407,6.3,1.26
2003/4/1 2:00,2.9315102888408004,6.3,1.26
2003/4/1 2:30,2.907792499186554,6.3,1.26
2003/4/1 3:00,2.882282341172829,6.3,1.26
2003/4/1 3:30,2.8467422357386925,6.3,1.26
2003/4/1 4:00,2.8068602093060586,6.3,1.26
2003/4/1 4:30,2.8120506356211292,6.3,1.26
2003/4/1 5:00,2.8435433160946175,6.3,1.26
2003/4/1 5:30,2.893205801549882,6.3,1.26
2003/4/1 6:00,2.9611270314619427,6.3,1.26
2003/4/1 6:30,2.996554929308587,6.3,1.26
2003/4/1 7:00,3.073426998947286,6.3,1.26
2003/4/1 7:30,3.1532439402338754,6.3,1.26
2003/4/1 8:00,3.229064457773548,6.3,1.26
2003/4/1 8:30,3.3055563326942003,6.3,1.26
2003/4/1 9:00,3.3880653931662943,6.3,1.26
2003/4/1 9:30,3.463287745326288,6.3,1.26
2003/4/1 10:00,3.5456445094142897,6.3,1.26
2003/4/1 10:30,3.6202481882490805,6.3,1.26
2003/4/1 11:00,3.696917779464571,6.3,1.26
2003/4/1 11:30,3.7742217436372663,6.3,1.26
2003/4/1 12:00,3.8535371851817892,6.3,1.26
2003/4/1 12:30,3.925403156811046,6.3,1.26
2003/4/1 13:00,3.99889575215278,6.3,1.26
2003/4/1 13:30,4.071402091068395,6.3,1.26
2003/4/1 14:00,4.141853634404207,6.3,1.26
2003/4/1 14:30,4.208617095694589,6.3,1.26
2003/4/1 15:00,4.2794194014100375,6.3,1.26
2003/4/1 15:30,4.3445278269718095,6.3,1.26
2003/4/1 16:00,4.391272035725071,6.3,1.26
2003/4/1 16:30,4.420136348761513,6.3,1.26
2003/4/1 17:00,4.424656001441111,6.3,1.26
2003/4/1 17:30,4.345240517989251,6.3,1.26
2003/4/1 18:00,4.260068632765197,6.3,1.26
2003/4/1 18:30,4.154326211562144,6.3,1.26
2003/4/1 19:00,4.060193948284458,6.3,1.26
2003/4/1 19:30,3.9922924481679107,6.3,1.26
2003/4/1 20:00,3.9193320796482816,6.3,1.26
2003/4/1 20:30,3.8673021848171487,6.3,1.26
2003/4/1 21:00,3.8032122110253663,6.3,1.26
2003/4/1 21:30,3.7450992372473477,6.3,1.26
2003/4/1 22:00,3.691884184525029,6.3,1.26
2003/4/1 22:30,3.594949973890924,6.3,1.26
2003/4/1 23:00,3.3812191843055235,6.3,1.26
2003/4/1 23:30,3.15,6.3,1.26
