Time,í~ìdó [kWh],í~ìdíróeó è„å¿[kWh],í~ìdíróeó â∫å¿[kWh]
2003/4/1 0:00,3.0577442367476806,6.3,1.26
2003/4/1 0:30,3.0232429734226014,6.3,1.26
2003/4/1 1:00,3.001968657509118,6.3,1.26
2003/4/1 1:30,2.9677600258131624,6.3,1.26
2003/4/1 2:00,2.9315102888507907,6.3,1.26
2003/4/1 2:30,2.9077924992013164,6.3,1.26
2003/4/1 3:00,2.882282341189434,6.3,1.26
2003/4/1 3:30,2.84674223575933,6.3,1.26
2003/4/1 4:00,2.806860209328899,6.3,1.26
2003/4/1 4:30,2.811363043465004,6.3,1.26
2003/4/1 5:00,2.8455151424227125,6.3,1.26
2003/4/1 5:30,2.8933104043638607,6.3,1.26
2003/4/1 6:00,2.966547231044025,6.3,1.26
2003/4/1 6:30,3.007840214903476,6.3,1.26
2003/4/1 7:00,3.08069217498947,6.3,1.26
2003/4/1 7:30,3.155560281841189,6.3,1.26
2003/4/1 8:00,3.235754737320427,6.3,1.26
2003/4/1 8:30,3.3155105792351316,6.3,1.26
2003/4/1 9:00,3.392336697850297,6.3,1.26
2003/4/1 9:30,3.4711428579715484,6.3,1.26
2003/4/1 10:00,3.5479722450161244,6.3,1.26
2003/4/1 10:30,3.625983851527522,6.3,1.26
2003/4/1 11:00,3.7047732444689023,6.3,1.26
2003/4/1 11:30,3.776586259235886,6.3,1.26
2003/4/1 12:00,3.8508425235497725,6.3,1.26
2003/4/1 12:30,3.9276584546702598,6.3,1.26
2003/4/1 13:00,4.005771015075397,6.3,1.26
2003/4/1 13:30,4.072287859013181,6.3,1.26
2003/4/1 14:00,4.148768164068636,6.3,1.26
2003/4/1 14:30,4.208247902613764,6.3,1.26
2003/4/1 15:00,4.283877135507195,6.3,1.26
2003/4/1 15:30,4.34002124879969,6.3,1.26
2003/4/1 16:00,4.393945700879738,6.3,1.26
2003/4/1 16:30,4.419430324629592,6.3,1.26
2003/4/1 17:00,4.42465600139428,6.3,1.26
2003/4/1 17:30,4.345240517946464,6.3,1.26
2003/4/1 18:00,4.260068632726088,6.3,1.26
2003/4/1 18:30,4.154326211527672,6.3,1.26
2003/4/1 19:00,4.06019394825423,6.3,1.26
2003/4/1 19:30,3.9922924481423934,6.3,1.26
2003/4/1 20:00,3.9193320796253976,6.3,1.26
2003/4/1 20:30,3.8673021847969835,6.3,1.26
2003/4/1 21:00,3.8032122110095843,6.3,1.26
2003/4/1 21:30,3.745099237233929,6.3,1.26
2003/4/1 22:00,3.691884184513947,6.3,1.26
2003/4/1 22:30,3.5949499738843818,6.3,1.26
2003/4/1 23:00,3.3812191843029664,6.3,1.26
2003/4/1 23:30,3.15,6.3,1.26
