コマ,電力コスト[JPY],アグリゲータの買電電力[kW・30分],アグリゲータの売電電力[kW・30分],買電電力[kW・30分],売電電力[kW・30分],一軒に供給される電力量[kW・30分],一軒から放出される電力量[kW・30分],電気料金[JPY・30min/kW],蓄電量[kWh],充電量[kW・30分],放電量[kW・30分],HP給湯機消費電力[kW・30分],充電中変数,放電中変数,売買変数,電力需要量[kW・30min],太陽光発電出力[kW・30min]
2003/4/1 0:00,-4.0258029140545174e-10,0.0,-2.0129014570272587e-10,6.690028238857858e-15,-6.640974217242906e-11,6.690028238857858e-15,-6.640974217242906e-11,6.08,3.0577442367476326,-7.716475641691981e-11,0.1752859502491641,1.0563467365338707e-10,5.1431858771877614e-11,0.9999999999485681,-6.661338147750939e-15,0.17528595,0.0
2003/4/1 0:30,-2.846298525053721e-10,0.0,-1.4231492625268606e-10,6.697051550950598e-15,-4.366093588815371e-11,6.697051550950598e-15,-4.366093588815371e-11,6.08,3.023242973424134,-7.961245483683384e-11,0.06555240038649941,2.6323338627967065e-10,5.306410866268152e-11,0.9999999999469359,-6.661338147750939e-15,0.0655524,0.0
2003/4/1 1:00,-3.236107318268429e-10,0.0,-1.6180536591342144e-10,6.699585994051583e-15,-5.343683071254198e-11,6.699585994051583e-15,-5.343683071254198e-11,6.08,3.001968657510739,-7.809553851041724e-11,0.04042120030593147,1.7428020505285224e-10,5.205225139803815e-11,0.9999999999479477,-6.661338147750939e-15,0.0404212,0.0
2003/4/1 1:30,-3.300998868804265e-10,0.0,-1.6504994344021326e-10,6.699659304923774e-15,-5.466293131528078e-11,6.699659304923774e-15,-5.466293131528078e-11,6.08,2.9677600258148713,-8.032389267750645e-11,0.0649964002946352,1.5966177415718202e-10,5.353850696110385e-11,0.9999999999464615,-6.661338147750939e-15,0.0649964,0.0
2003/4/1 2:00,-3.318733134092134e-10,0.0,-1.659366567046067e-10,6.697750900169886e-15,-5.492937958298234e-11,6.697750900169886e-15,-5.492937958298234e-11,6.08,2.9315102888526505,-8.073119581481637e-11,0.06887450030108687,1.6538167070721207e-10,5.3809290356809925e-11,0.9999999999461907,-6.661338147750939e-15,0.0688745,0.0
2003/4/1 2:30,-4.168478728977308e-10,0.0,-2.084239364488654e-10,6.781283320990279e-15,-6.903085616285247e-11,6.781283320990279e-15,-6.903085616285247e-11,6.08,2.9077924992030493,-5.87696320822266e-11,0.04506380038729242,2.5949935187767324e-10,3.916889035338045e-11,0.9999999999608311,-6.8833827526759706e-15,0.0450638,0.0
2003/4/1 3:00,-3.3178646114193907e-10,0.0,-1.6589323057096953e-10,6.69442819982135e-15,-5.435371175918332e-11,6.69442819982135e-15,-5.435371175918332e-11,6.08,2.8822823411914187,-7.969935972716821e-11,0.04846930029403593,1.5992218756449998e-10,5.3121729237659565e-11,0.9999999999468783,-6.661338147750939e-15,0.0484693,0.0
2003/4/1 3:30,-4.4148144368903467e-10,0.0,-2.2074072184451734e-10,6.787396410639087e-15,-7.352109771472735e-11,6.787396410639087e-15,-7.352109771472735e-11,6.08,2.846742235760737,-6.005548114837321e-11,0.06752620037248802,2.3891889622408335e-10,4.002598252839107e-11,0.999999999959974,-6.661338147750939e-15,0.0675262,0.0
2003/4/1 4:00,-3.412728727638331e-10,0.0,-1.7063643638191655e-10,6.69094877663177e-15,-5.525299949496396e-11,6.69094877663177e-15,-5.525299949496396e-11,6.08,2.8068602093309565,-8.137453156029654e-11,0.07577585029002697,1.5332477692502192e-10,5.423850257813001e-11,0.9999999999457615,-6.661338147750939e-15,0.07577585,0.0
2003/4/1 4:30,-0.0824306194661886,0.0,-0.0412153097330943,4.8460003839926265e-14,-0.014901774065207943,4.8460003839926265e-14,-0.014901774065207943,6.08,2.810877961597811,-0.008458425885894386,5.5000121461523125e-11,4.039469163615394e-10,0.005638950590584835,0.9943610494094152,-3.9968028886505635e-15,0.06871465,0.0920748503
2003/4/1 5:00,-0.3953660729045273,0.0,-0.19768303645226365,6.70275746312715e-15,-0.06232227323340598,6.70275746312715e-15,-0.06232227323340598,6.08,2.8462454527933105,-0.07445787629433606,8.41992232229699e-11,2.564598774488611e-10,0.04963858419621325,0.9503614158037867,-6.661338147750939e-15,0.077145,0.21392514969999998
2003/4/1 5:30,-1.6161737766620095,0.0,-0.8080868883310047,6.499472641943992e-14,-0.2745434825503196,6.499472641943992e-14,-0.2745434825503196,6.08,2.891282731152696,-0.0948153229608262,8.93052208018517e-11,3.782246354537381e-10,0.06321021530720672,0.9367897846927933,-2.886579864025407e-15,0.0986761,0.4680349058
2003/4/1 6:00,-2.4550513881189944,0.0,-1.2275256940594972,6.708342491038511e-15,-0.3995363621835014,6.708342491038511e-15,-0.3995363621835014,6.08,2.968729453719589,-0.16304573179005472,6.342940797843481e-11,2.8983506249520114e-10,0.10869715452669171,0.8913028454733083,-6.661338147750939e-15,0.166383,0.7289650942
2003/4/1 6:30,-0.9517050124139517,0.0,-0.47585250620697583,6.7206981394112945e-15,-0.14913164999528675,6.7206981394112945e-15,-0.14913164999528675,6.08,3.013848564042757,-0.09498760074159396,5.5259549390740466e-11,7.184329820782663e-10,0.06332506716105202,0.936674932838948,-6.661338147750939e-15,0.69659155,0.9407108014000001
2003/4/1 7:00,-5.512935758797061,0.0,-2.7564678793985307,3.517672606536548e-13,-0.9248152684567942,3.517672606536548e-13,-0.9248152684567942,14.495,3.084440820896476,-0.1486152776745311,7.921291126341428e-11,2.9481922021089667e-09,0.0990768517830094,0.9009231482169906,1.6431300764452317e-14,0.10985865,1.183289199
2003/4/1 7:30,-6.986768268674109,0.0,-3.4933841343370546,3.5814826098393894e-13,-1.1713836078796223,3.5814826098393894e-13,-1.1713836078796223,14.495,3.156851254623394,-0.15244301845977545,7.880533652837796e-11,9.739733892939212e-09,0.10162867897317218,0.8983713210268278,1.6653345369377348e-14,0.0902666,1.414093236
2003/4/1 8:00,-8.027637838011714,0.0,-4.013818919005857,6.743927731080856e-15,-1.3321316788668236,6.743927731080856e-15,-1.3321316788668236,14.495,3.238996916921109,-0.17293823649851778,7.425021246515015e-11,0.00920434870891189,0.11529215766566725,0.8847078423343328,-6.661338147750939e-15,0.1136325,1.627906764
2003/4/1 8:30,-8.75022272330335,0.0,-4.375111361651675,6.738282641740314e-15,-1.4536887992529612,6.738282641740314e-15,-1.4536887992529612,14.495,3.3204564537682204,-0.17149376186609858,7.462266109178262e-11,0.016286589955593088,0.1143291745773879,0.8856708254226121,-6.661338147750939e-15,0.15433865,1.795807801
2003/4/1 9:00,-10.049064834322671,0.0,-5.0245324171613355,3.506883802476256e-13,-1.682270267535926,3.506883802476256e-13,-1.682270267535926,14.495,3.394832926760415,-0.15658204849173352,7.86178603138785e-11,0.03234778305123807,0.10438803232781169,0.8956119676721883,1.63202784619898e-14,0.0769921,1.9481921990000002
2003/4/1 9:30,-10.637437259436757,0.0,-5.318718629718378,6.7246036137303826e-15,-1.7678519924572353,6.7246036137303826e-15,-1.7678519924572353,14.495,3.475448312829095,-0.16971660233416463,7.607630536927864e-11,0.06425113828468407,0.11314440155609873,0.8868555984439013,-6.661338147750939e-15,0.0654829,2.0673026329999997
2003/4/1 10:00,-10.6253811292385,0.0,-5.31269056461925,3.5578439337776856e-13,-1.7779888244925168,3.5578439337776856e-13,-1.7779888244925168,14.495,3.5499883600183084,-0.15692641522205225,7.83868521311258e-11,0.126156127364236,0.10461761014802351,0.8953823898519765,1.6431300764452317e-14,0.088126,2.149197367
2003/4/1 10:30,-10.183559895000556,0.0,-5.091779947500278,6.7238652394675e-15,-1.6924662137879358,6.7238652394675e-15,-1.6924662137879358,14.495,3.629711562872476,-0.16783832188270487,7.623290726617613e-11,0.24779250940559827,0.11189221458845833,0.8881077854115417,-6.661338147750939e-15,0.07861145,2.186708495
2003/4/1 11:00,-8.81430241005838,0.0,-4.40715120502919,6.7265823438419105e-15,-1.4652822842968984,6.7265823438419105e-15,-1.4652822842968984,14.495,3.710125838609554,-0.16929321215763496,7.179783172640716e-11,0.49294600861716004,0.11286214143841167,0.8871378585615883,-6.661338147750939e-15,0.05977,2.187291505
