Time,電圧上限値,電圧下限値,bus1の電圧,bus1の電圧上限違反値,bus1の電圧下限違反値,bus1の有効電力,bus1の電圧降下,bus2の電圧,bus2の電圧上限違反値,bus2の電圧下限違反値,bus2の有効電力,bus2の電圧降下,bus3の電圧,bus3の電圧上限違反値,bus3の電圧下限違反値,bus3の有効電力,bus3の電圧降下
2003/4/1 0:00,107.0,95.0,99.7999705784099,0,0,-5.684341886080802e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.684341886080802e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 0:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.727977203231867e-15,-0.00014433150026604835,99.79975030501872,0,0,6.783306072749278e-15,-7.594189091264525e-05
2003/4/1 1:00,107.0,95.0,99.7999705784099,0,0,6.712514377091232e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.725442760143806e-15,-0.00014433150026604835,99.79975030501872,0,0,6.790081225436675e-15,-7.594189091264525e-05
2003/4/1 1:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.725369449258691e-15,-0.00014433150026604835,99.79975030501872,0,0,6.7895041139310055e-15,-7.594189091264525e-05
2003/4/1 2:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.727277854025503e-15,-0.00014433150026604835,99.79975030501872,0,0,6.792975611502472e-15,-7.594189091264525e-05
2003/4/1 2:30,107.0,95.0,99.7999705784099,0,0,-4.973799150320701e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.3290705182007514e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 3:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7306005543675766e-15,-0.00014433150026604835,99.79975030501872,0,0,6.792437438832667e-15,-7.594189091264525e-05
2003/4/1 3:30,107.0,95.0,99.7999705784099,0,0,-4.973799150320701e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.684341886080802e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 4:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.734079977570082e-15,-0.00014433150026604835,99.79975030501872,0,0,6.792881966947549e-15,-7.594189091264525e-05
2003/4/1 4:30,107.0,95.0,99.7999705784099,0,0,7.105427357601002e-14,-2.9421590099332207e-05,99.79982624690965,0,0,2.842170943040401e-14,-0.0001443315002518375,99.79975030501873,0,0,1.0658141036401503e-14,-7.594189091264525e-05
