DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/4/1 0:00,0,0,0,0.04286065,0.0405741,0.00313445,0.01297565,0.0757411,0,0.17528595
2003/4/1 0:30,0,0,0,0.00117455,0.02712585,0.00323175,0.00506655,0.0289537,0,0.0655524
2003/4/1 1:00,0,0,0,0.00118845,0.01899435,0.0032526,0.00337075,0.01361505,0,0.0404212
2003/4/1 1:30,0,0,0,0.00117455,0.035028,0.0032109,0.00334295,0.02224,0,0.0649964
2003/4/1 2:00,0,0,0,0.00117455,0.03357545,0.00323175,0.0033221,0.02757065,0,0.0688745
2003/4/1 2:30,0,0,0,0.00117455,0.018626,0.0032248,0.00331515,0.0187233,0,0.0450638
2003/4/1 3:00,0,0,0,0.0011676,0.0234632,0.0032109,0.00327345,0.01735415,0,0.0484693
2003/4/1 3:30,0,0,0,0.0011676,0.034889,0.0032248,0.0032943,0.0249505,0,0.0675262
2003/4/1 4:00,0,0,0,0.00118845,0.02848805,0.00324565,0.00337075,0.03948295,0,0.07577585
2003/4/1 4:30,0,0,0,0.0012093,0.01857735,0.0032387,0.0034055,0.0422838,0,0.06871465
2003/4/1 5:00,0,0,0,0.0011954,0.0258679,0.0032526,0.0033916,0.0434375,0,0.077145
2003/4/1 5:30,0,0,0,0.0011954,0.03418705,0.0032526,0.007645,0.05239605,0,0.0986761
2003/4/1 6:00,0,0,0,0.00118845,0.02630575,0.0032526,0.0984676,0.0371686,0,0.166383
2003/4/1 6:30,0,0,0,0.51950555,0.0187789,0.0032248,0.0544324,0.1006499,0,0.69659155
2003/4/1 7:00,0,0,0,0.00117455,0.0331376,0.004031,0.02378985,0.04772565,0,0.10985865
2003/4/1 7:30,0,0,0,0.00117455,0.0389895,0.0032248,0.00091045,0.0459673,0,0.0902666
2003/4/1 8:00,0,0,0,0.00117455,0.04509855,0.02149635,0.00091045,0.0449526,0,0.1136325
2003/4/1 8:30,0,0,0,0.0011815,0.0565452,0.04204055,0.0009174,0.053654,0,0.15433865
2003/4/1 9:00,0,0,0,0.00117455,0.02473505,0.0113702,0.00091045,0.03880185,0,0.0769921
2003/4/1 9:30,0,0,0,0.00117455,0.02234425,0.00323175,0.00091045,0.0378219,0,0.0654829
2003/4/1 10:00,0,0,0,0.00118845,0.0369462,0.0032387,0.0009313,0.04582135,0,0.088126
2003/4/1 10:30,0,0,0,0.00118845,0.03101785,0.00324565,0.0009174,0.0422421,0,0.07861145
2003/4/1 11:00,0,0,0,0.00118845,0.0189596,0.0032526,0.0009452,0.03542415,0,0.05977
2003/4/1 11:30,0,0,0,0.00651215,0.0230601,0.00324565,0.0009174,0.03973315,0,0.07346845
2003/4/1 12:00,0,0,0,0.0011954,0.03525735,0.00405185,0.0009591,0.069083,0,0.1105467
2003/4/1 12:30,0,0,0,0.0012093,0.03003095,0.00325955,0.0009452,0.08504715,0,0.12049215
2003/4/1 13:00,0,0,0,0.0011676,0.0190569,0.0548216,0.00091045,0.08210035,0,0.1580569
2003/4/1 13:30,0,0,0,0.00118845,0.0468708,0.06421105,0.0009313,0.053376,0,0.1665776
2003/4/1 14:00,0,0,0,0.00118845,0.0205164,0.0700143,0.0009313,0.03780105,0,0.1304515
2003/4/1 14:30,0,0,0,0.0011954,0.03257465,0.06718565,0.0009452,0.04544605,0,0.14734695
2003/4/1 15:00,0,0,0,0.0011954,0.035167,0.00325955,0.00095215,0.0449387,0,0.0855128
2003/4/1 15:30,0,0,0,0.0011954,0.01767385,0.0032526,0.0009452,0.03514615,0,0.0582132
2003/4/1 16:00,0,0,0,0.09345665,0.0505682,0.04124825,0.0009452,0.05489805,0,0.24111635
2003/4/1 16:30,0,0,0,0.0011954,0.0181256,0.0616882,0.0009452,0.0363207,0,0.1182751
2003/4/1 17:00,0,0,0,0.0011815,0.0342218,0.06924285,0.0009313,0.04654415,0,0.1521216
2003/4/1 17:30,0,0,0,0.00117455,0.0339716,0.0675957,0.0009174,0.0671509,0,0.17081015
2003/4/1 18:00,0,0,0,0.0011537,0.02103765,0.0670119,0.0008896,0.078813,0,0.16890585
2003/4/1 18:30,0,0,0,0.0011537,0.04223515,0.0666922,0.0009035,0.08992605,0,0.2009106
2003/4/1 19:00,0,0,0,0.00117455,0.0249644,0.0670953,0.00091045,0.0847066,0,0.1788513
2003/4/1 19:30,0,0,0,0.0011815,0.02556905,0.02077355,0.0009313,0.08055745,0,0.12901285
2003/4/1 20:00,0,0,0,0.00118845,0.0418251,0.0032387,0.0009452,0.09142725,0,0.1386247
2003/4/1 20:30,0,0,0,0.00117455,0.01731245,0.00323175,0.0009174,0.07622065,0,0.0988568
2003/4/1 21:00,0,0,0,0.00118845,0.03087885,0.0032526,0.0009313,0.08551975,0,0.12177095
2003/4/1 21:30,0,0,0,0.0011537,0.03595235,0.0032109,0.0009035,0.0691942,0,0.11041465
2003/4/1 22:00,0,0,0,0.00118845,0.0171665,0.0032526,0.00095215,0.0785489,0,0.1011086
2003/4/1 22:30,0,0,0,0.00118845,0.06151445,0.0032665,0.0009313,0.1172743,0,0.184175
2003/4/1 23:00,0,0,0,0.25746275,0.0414637,0.0175835,0.0009313,0.08864725,0,0.4060885
2003/4/1 23:30,0,0,0,0.20800655,0.05418915,0.06697715,0.00092435,0.10921925,0,0.43931645
2003/4/2 0:00,0,0,0,0.28187115,0.02056505,0.0622303,0.00093825,0.0654551,0,0.43105985
2003/4/2 0:30,0,0,0,0.0772145,0.05090875,0.00327345,0.0009591,0.1113807,0,0.2437365
2003/4/2 1:00,0,0,0,0.00120235,0.01832715,0.0032665,0.00095215,0.06597635,0,0.0897245
2003/4/2 1:30,0,0,0,0.0011537,0.0325677,0.0032248,0.3385762,-0.37080335,0,0.00471905
2003/4/2 2:00,0,0,0,0.00116065,0.0348473,0.0032248,0.23124735,0.02360915,0,0.29408925
2003/4/2 2:30,0,0,0,0.00118845,0.0173055,0.0032387,0.00692915,0.01549155,0,0.04415335
