DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/4/1 0:00,0.52453735,0,0,0.01360115,0.0532092,0.02802935,0.02214965,0.092018,0,0.7335447
2003/4/1 0:30,0.1024291,0,0,0.01854955,0.0550857,0.00599785,0.02269175,0.04212395,0,0.2468779
2003/4/1 1:00,0.16272035,0,0,0.019043,0.0548355,0.00595615,0.01715955,0.03857945,0,0.298294
2003/4/1 1:30,0.8952712,0,0,0.0193349,0.0546965,0.00595615,0.02081525,0.0475102,0,1.0435842
2003/4/1 2:00,0.0328874,0,0,0.0191264,0.05496755,0.0060048,0.0177225,0.043507,0,0.17421565
2003/4/1 2:30,0.11437615,0,0,0.01938355,0.0549745,0.00603955,0.0211697,0.04256875,0,0.2585122
2003/4/1 3:00,0.91605865,0,0,0.01921675,0.05432815,0.0059353,0.02139905,0.04462595,0,1.06156385
2003/4/1 3:30,0.14598475,0,0,0.0192515,0.05446715,0.00599785,0.0178615,0.0416305,0,0.28519325
2003/4/1 4:00,0.0280641,0,0,0.01943915,0.0542795,0.005977,0.0215172,0.03963585,0,0.1689128
2003/4/1 4:30,1.0246385,0,0,0.01942525,0.0540432,0.0059353,0.02038435,0.0438545,0,1.1682811
2003/4/1 5:00,0.00615075,0,0,0.01943915,0.053932,0.0059492,0.0195295,0.04309,0,0.1480906
2003/4/1 5:30,0.2601246,0,0,0.0193349,0.05391115,0.005977,0.0220315,0.04069225,0,0.4020714
2003/4/1 6:00,0.81054375,0,0,0.01939745,0.05386945,0.008757,0.016958,0.095632,0,1.00515765
2003/4/1 6:30,0.00463565,0,0,0.0195851,0.053654,0.0565035,0.01127985,0.1284082,0,0.2740663
2003/4/1 7:00,0.5241412,0,0,0.01950865,0.0633423,0.0572958,0.01481045,0.1549155,0,0.8340139
2003/4/1 7:30,0.55485325,0,0,0.09023185,0.0605067,0.0578379,0.01529695,0.17689835,0,0.955625
2003/4/1 8:00,0.00045175,0,0,0.01914725,0.05456445,0.0344164,0.01499115,0.1352609,0,0.2588319
2003/4/1 8:30,0.00010425,0,0,0.01952255,0.0556,0.00845815,0.0153595,0.05271575,0,0.1517602
2003/4/1 9:00,0.00017375,0,0,0.0190708,0.05563475,0.00595615,0.01593635,0.0531814,0,0.1499532
2003/4/1 9:30,0.0001807,0,0,0.0190708,0.05584325,0.00597005,0.0119262,0.05384165,0,0.14683265
2003/4/1 10:00,0.00010425,0,0,0.01913335,0.0559614,0.00597005,0.01529,0.05222925,0,0.1486883
2003/4/1 10:30,0.00013205,0,0,0.0189596,0.0560726,0.005977,0.0153317,0.05325785,0,0.1497308
2003/4/1 11:00,0.00036835,0,0,0.01891095,0.0562116,0.00597005,0.01157175,0.0522779,0,0.1453106
2003/4/1 11:30,0.0005421,0,0,0.01898045,0.0563784,0.0059631,0.0153456,0.05274355,0,0.1499532
2003/4/1 12:00,0.0006533,0,0,0.0187789,0.05667725,0.0071724,0.01403205,0.05164545,0,0.14895935
2003/4/1 12:30,0.00082705,0,0,0.01879975,0.0569761,0.00605345,0.0096049,0.0517358,0,0.14399705
2003/4/1 13:00,0.0001112,0,0,0.01903605,0.05632975,0.0059075,0.01280885,0.0526393,0,0.14683265
2003/4/1 13:30,6.26E-05,0,0,0.0186538,0.05632975,0.0058936,0.01069605,0.051986,0,0.14362175
2003/4/1 14:00,8.34E-05,0,0,0.01889705,0.05639925,0.00591445,0.01451855,0.05313275,0,0.14894545
2003/4/1 14:30,9.04E-05,0,0,0.01871635,0.0563923,0.00591445,0.01442125,0.05209025,0,0.14762495
2003/4/1 15:00,2.09E-05,0,0,0.0189874,0.0563367,0.00590055,0.0109949,0.05206245,0,0.14430285
2003/4/1 15:30,0,0,0,0.0188623,0.0563923,0.00590055,0.01440735,0.052264,0,0.1478265
2003/4/1 16:00,8.34E-05,0,0,0.0188067,0.05656605,0.0059492,0.01070995,0.05231265,0,0.14442795
2003/4/1 16:30,2.78E-05,0,0,0.01882755,0.0563089,0.00591445,0.01447685,0.0518748,0,0.14743035
2003/4/1 17:00,2.09E-05,0,0,0.0190986,0.0559336,0.0058519,0.0144143,0.0519999,0,0.14731915
2003/4/1 17:30,4.17E-05,0,0,0.01932795,0.0558641,0.00587275,0.0108698,0.0519026,0,0.1438789
2003/4/1 18:00,0.0004309,0,0,0.0190291,0.0559753,0.00592835,0.0147896,0.0557668,0,0.15192005
2003/4/1 18:30,0.0004726,0,0,0.0192932,0.0560448,0.005977,0.01139105,0.0591584,0,0.15233705
2003/4/1 19:00,0.00060465,0,0,0.0191264,0.0559614,0.0071446,0.0150676,0.05912365,0,0.1570283
2003/4/1 19:30,0.00013205,0,0,0.0194461,0.05582935,0.00595615,0.01467145,0.0593947,0,0.1554298
2003/4/1 20:00,0.00011815,0,0,0.01942525,0.0558502,0.00598395,0.0114397,0.05923485,0,0.1520521
