Metric,Value
Case,Case2_DownDR
Description,下げDR：電力コスト + (買電-売電) + ペナルティ
Objective Value,-192.76667482147693
Real Time,0.12887072563171387
CPU Time,0.22675110600000004
MIP Gap,0.0013818928475266457
Variables,4140
Constraints,3714
Total Household Cost,-152.29960343609025
DR Period Net Power,-40.46707138538661
