Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,2.588040359836672e-10,0.17528594974119596,0.17528595,0.0,0.0,0.0,3.057744236978318,54.38999999999999,0,2.588040359836672e-10,2.588040359836672e-10,99.8002461432097
2,0.0,2.5880403564079734e-10,0.06555239974119596,0.0655524,0.0,0.0,0.0,3.0232429739566338,54.38999999999999,0,2.5880403564079734e-10,2.5880403564079734e-10,99.8002461432097
3,0.0,2.5880403557910026e-10,0.040421199741195964,0.0404212,0.0,0.0,0.0,3.001968658303373,54.38999999999999,0,2.5880403557910026e-10,2.5880403557910026e-10,99.8002461432097
4,0.0,2.588040356386339e-10,0.06499639974119596,0.0649964,0.0,0.0,0.0,2.9677600268606383,52.159444402999995,0,2.588040356386339e-10,2.588040356386339e-10,99.8002461432097
5,0.0,2.5880403565360256e-10,0.06887449974119597,0.0688745,0.0,0.0,0.0,2.931510290154746,52.159444402999995,0,2.5880403565360256e-10,2.5880403565360256e-10,99.8002461432097
6,0.0,2.588040355706968e-10,0.04506379974119597,0.0450638,0.0,0.0,0.0,2.907792500817274,52.159444402999995,0,2.588040355706968e-10,2.588040355706968e-10,99.8002461432097
7,0.0,2.5880403557716766e-10,0.048469299741195966,0.0484693,0.0,0.0,0.0,2.88228234305875,52.15944440299998,0,2.5880403557716766e-10,2.5880403557716766e-10,99.8002461432097
8,0.0,2.588040356484314e-10,0.06752619974119596,0.0675262,0.0,0.0,0.0,2.8467422379318053,52.15944440299998,0,2.588040356484314e-10,2.588040356484314e-10,99.8002461432097
9,0.0,2.5880403567950324e-10,0.07577584974119597,0.07577585,0.0,0.0,0.0,2.8068602117522286,52.15944440299998,0,2.5880403567950324e-10,2.5880403567950324e-10,99.8002461432097
10,0.0920748503,2.450980322813188e-10,0.0,0.06871465,0.0,0.023360200545098027,0.0,2.81795630701115,52.15944440299998,0,2.450980322813188e-10,2.450980322813188e-10,99.80251696728138
11,0.21392514969999998,0.0,0.0,0.077145,0.07060171167911815,0.06617843802088182,0.0,2.8493910650710688,52.15944440299998,0,-0.07060171167911815,-0.07060171167911815,99.82802659423048
12,0.4680349058,0.0,0.0,0.0986761,0.2776641216023223,0.09169468419767773,0.0,2.892946040064966,52.15944440299998,0,-0.2776641216023223,-0.2776641216023223,99.85840920377862
13,0.7289650942,2.450980389724474e-10,0.0,0.166383,0.0,0.562582094445098,0.0,3.1601725349263874,52.15944440299998,0,2.450980389724474e-10,2.450980389724474e-10,99.86808555713873
14,0.9407108014000001,2.450980386469577e-10,0.0,0.69659155,0.0,0.24411925164509837,0.0,3.276129179457809,45.24909600599998,0,2.450980386469577e-10,2.450980386469577e-10,99.83091082319098
15,1.183289199,0.0,0.0,0.10985865,0.6806678155697561,0.39276273343024415,-4.611647573193253e-16,3.462691477837175,41.677291415999974,0,-0.6806678155697561,-0.6806678155697561,99.9428274862417
16,1.414093236,8.003201276365375e-11,0.0,0.0902666,0.0,1.3238266360800326,-4.415265895244627e-16,4.091509129975191,40.787984935999965,0,8.003201276365375e-11,8.003201276365375e-11,99.90080624704972
17,1.627906764,0.0,0.0,0.1136325,1.0046296374239112,0.5096446265760897,-4.211207573435962e-16,4.3335903275988334,38.557429464999956,0,-1.0046296374239112,-1.0046296374239112,100.19309492500602
18,1.795807801,0.0,0.0,0.15433865,1.131824520870458,0.5096446301295421,0.0,4.575671526910366,36.32687399399995,0,-1.131824520870458,-1.131824520870458,100.24317564705876
19,1.9481921990000002,0.0,0.0,0.0769921,1.361555470807643,0.5096446281923572,0.0,4.817752725301736,36.32687399399995,0,-1.361555470807643,-1.361555470807643,100.33362812063993
20,2.0673026329999997,0.0,0.0,0.0654829,1.2284028224131882,0.6465511846231033,0.12686572596370804,5.12486453799771,36.73187436203694,1,-1.2284028224131882,-1.2284028224131882,100.2819370530289
21,2.149197367,0.0,0.0,0.088126,1.3728214609255744,0.6529032472467966,0.03534665882762922,5.434993580439938,37.136875999805454,1,-1.3728214609255744,-1.3728214609255744,100.33881567971589
22,2.186708495,0.0,0.0,0.07861145,1.2141198020694774,0.44226362853991347,0.45171361439060914,5.645068803996397,45.23687529482505,1,-1.2141198020694774,-1.2141198020694774,100.2750618406126
23,2.187291505,0.0,0.0,0.05977,1.2353880245100852,0.4428189496908778,0.4493145307990372,5.8554078050995635,53.33687479752248,1,-1.2353880245100852,-1.2353880245100852,100.28343949914111
24,2.1437015390000003,0.0,0.0,0.07346845,1.179921126240125,0.44337042471098,0.44694153804889525,6.066008756837279,61.436874412429276,1,-1.179921126240125,-1.179921126240125,100.2616040574176
25,2.077298461,0.0,0.0,0.1105467,1.1366469498384224,0.49261314208703566,0.3374916690745417,6.299999999328621,67.35054817411141,1,-1.1366469498384224,-1.1366469498384224,100.24474530435829
26,1.996236854,0.0,0.5221862382585132,0.12049215,2.397930942258513,0.0,0.0,6.025165137087298,67.35054817411141,0,-2.397930942258513,-2.397930942258513,100.68528678875984
27,1.860263146,0.0,0.7241040258362144,0.1580569,2.4263102718362144,0.0,0.0,5.644057755068238,67.35054817411141,0,-2.4263102718362144,-2.4263102718362144,100.75478808505154
28,1.686531921,0.0,0.7241040244491228,0.1665776,2.244058345449123,0.0,0.0,5.262950373779226,67.35054817411141,0,-2.244058345449123,-2.244058345449123,100.68302963214826
29,1.494968079,0.0,0.675612321447534,0.1304515,2.040128900447534,0.0,0.0,4.907364941438419,67.35054817411141,0,-2.040128900447534,-2.040128900447534,100.56504088336865
30,1.305648859,0.0,0.7291645937883784,0.14734695,1.8874665027883784,0.0,0.0,4.523594102602431,67.35054817411141,0,-1.8874665027883784,-1.8874665027883784,100.53807386361103
31,1.0703511410000002,0.0,0.7291644847061942,0.0855128,1.7140028257061943,0.0,0.0,4.139823321178118,67.35054817411141,0,-1.7140028257061943,-1.7140028257061943,100.46977562983423
32,0.8373392128,0.0,0.0,0.0582132,0.7791260066415233,6.158476728579387e-09,0.0,4.139823324103395,67.35054817411141,0,-0.7791260066415233,-0.7791260066415233,100.21679121073414
33,0.5846607871999999,8.578271310468764e-11,0.0,0.24111635,0.0,0.34354443728578266,0.0,4.303006931814141,67.35054817411141,0,8.578271310468764e-11,8.578271310468764e-11,99.80024614327712
34,0.35288815970000004,8.578271310497255e-11,0.0,0.1182751,0.0,0.23461305978578276,0.0,4.414448135212388,67.35054817411141,0,8.578271310497255e-11,8.578271310497255e-11,99.80024614327712
35,0.17361184030000001,8.578271310540854e-11,0.0,0.1521216,0.0,0.021490240385782733,0.0,4.424655999395635,67.35054817411141,0,8.578271310540854e-11,8.578271310540854e-11,99.80024614327712
36,0.019920731709999997,8.809949170955024e-11,0.1508894182019005,0.17081015,0.0,0.0,0.0,4.345240516131477,67.35054817411141,0,8.809949170955024e-11,8.809949170955024e-11,99.8002461432761
37,0.007079268293,8.80994917113551e-11,0.16182658161890048,0.16890585,0.0,0.0,0.0,4.260068631068897,67.35054817411141,0,8.80994917113551e-11,8.80994917113551e-11,99.8002461432761
38,0.0,8.809949171619901e-11,0.2009105999119005,0.2009106,0.0,0.0,0.0,4.154326210062634,67.35054817411141,0,8.809949171619901e-11,8.809949171619901e-11,99.8002461432761
39,0.0,8.809949171372532e-11,0.1788512999119005,0.1788513,0.0,0.0,0.0,4.060193946951108,67.35054817411141,0,8.809949171372532e-11,8.809949171372532e-11,99.8002461432761
40,0.0,8.809949170502192e-11,0.1290128499119005,0.12901285,0.0,0.0,0.0,3.9922924469974754,63.09354029111141,0,8.809949170502192e-11,8.809949170502192e-11,99.8002461432761
41,0.0,8.809949170718754e-11,0.1386246999119005,0.1386247,0.0,0.0,0.0,3.9193320786227908,60.19236019811141,0,8.809949170718754e-11,8.809949170718754e-11,99.8002461432761
42,0.0,8.809949169549442e-11,0.0988567999119005,0.0988568,0.0,0.0,0.0,3.867302183932317,58.85111107911141,0,8.809949169549442e-11,8.809949169549442e-11,99.8002461432761
43,0.0,8.809949170316447e-11,0.12177094991190052,0.12177095,0.0,0.0,0.0,3.8032122102944745,55.27930648911141,0,8.809949170316447e-11,8.809949170316447e-11,99.8002461432761
44,0.0,8.809949169976107e-11,0.11041464991190052,0.11041465,0.0,0.0,0.0,3.7450992366566322,55.27930648911141,0,8.809949169976107e-11,8.809949169976107e-11,99.8002461432761
45,0.0,8.80994916964022e-11,0.10110859991190052,0.1011086,0.0,0.0,0.0,3.6918841840714216,54.39000000911141,0,8.80994916964022e-11,8.80994916964022e-11,99.8002461432761
46,0.0,8.809949171437654e-11,0.1841749999119005,0.184175,0.0,0.0,0.0,3.594949973591474,54.39000000911141,0,8.809949171437654e-11,8.809949171437654e-11,99.8002461432761
47,0.0,8.809949172633257e-11,0.40608849991190055,0.4060885,0.0,0.0,0.0,3.381219184164158,54.39000000911141,0,8.809949172633257e-11,8.809949172633257e-11,99.8002461432761
48,0.0,8.80994917270831e-11,0.43931644991190055,0.43931645,0.0,0.0,0.0,3.15,54.39000000911141,0,8.80994917270831e-11,8.80994917270831e-11,99.8002461432761
