Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
1,7.764118911160507e-10,0.0,99.80002946220594,3.057744236978318,0,2.58803819129443e-10,2.58803819129443e-10,0.0,0.17528595,0.0,54.38999999999999,99.80016888059896,3.057744236978318,0,2.588040360029406e-10,2.588040360029406e-10,0.0,0.17528595,0.0,54.38999999999999,99.8002461432097,3.057744236978318,0,2.588040359836672e-10,2.588040359836672e-10,0.0,0.17528595,0.0,54.38999999999999
2,7.764118899360594e-10,0.0,99.80002946220594,3.023242973956635,0,2.5880381863519137e-10,2.5880381863519137e-10,0.0,0.0655524,0.0,54.38999999999999,99.80016888059896,3.0232429739566347,0,2.588040356600707e-10,2.588040356600707e-10,0.0,0.0655524,0.0,54.38999999999999,99.8002461432097,3.0232429739566338,0,2.5880403564079734e-10,2.5880403564079734e-10,0.0,0.0655524,0.0,54.38999999999999
3,7.764118894858359e-10,0.0,99.80002946220594,3.001968658303374,0,2.588038183083619e-10,2.588038183083619e-10,0.0,0.0404212,0.0,54.38999999999999,99.80016888059896,3.001968658303374,0,2.588040355983737e-10,2.588040355983737e-10,0.0,0.0404212,0.0,54.38999999999999,99.8002461432097,3.001968658303373,0,2.5880403557910026e-10,2.5880403557910026e-10,0.0,0.0404212,0.0,54.38999999999999
4,7.764118899264841e-10,0.0,99.80002946220594,2.9677600268606388,0,2.5880381862994285e-10,2.5880381862994285e-10,0.0,0.0649964,0.0,52.159444402999995,99.80016888059896,2.967760026860639,0,2.5880403565790726e-10,2.5880403565790726e-10,0.0,0.0649964,0.0,52.159444402999995,99.8002461432097,2.9677600268606383,0,2.588040356386339e-10,2.588040356386339e-10,0.0,0.0649964,0.0,52.159444402999995
5,7.764118899916165e-10,0.0,99.80002946220594,2.931510290154746,0,2.58803818665138e-10,2.58803818665138e-10,0.0,0.0688745,0.0,52.159444402999995,99.80016888059896,2.9315102901547467,0,2.5880403567287597e-10,2.5880403567287597e-10,0.0,0.0688745,0.0,52.159444402999995,99.8002461432097,2.931510290154746,0,2.5880403565360256e-10,2.5880403565360256e-10,0.0,0.0688745,0.0,52.159444402999995
6,7.764118895425631e-10,0.0,99.80002946220594,2.9077925008172745,0,2.588038183818961e-10,2.588038183818961e-10,0.0,0.0450638,0.0,52.159444402999995,99.80016888059896,2.907792500817275,0,2.5880403558997014e-10,2.5880403558997014e-10,0.0,0.0450638,0.0,52.159444402999995,99.8002461432097,2.907792500817274,0,2.588040355706968e-10,2.588040355706968e-10,0.0,0.0450638,0.0,52.159444402999995
7,7.764118896071522e-10,0.0,99.80002946220594,2.8822823430587503,0,2.5880381843354345e-10,2.5880381843354345e-10,0.0,0.0484693,0.0,52.15944440299998,99.80016888059896,2.8822823430587508,0,2.5880403559644107e-10,2.5880403559644107e-10,0.0,0.0484693,0.0,52.15944440299998,99.8002461432097,2.88228234305875,0,2.5880403557716766e-10,2.5880403557716766e-10,0.0,0.0484693,0.0,52.15944440299998
8,7.76411889969402e-10,0.0,99.80002946220594,2.8467422379318044,0,2.5880381865326583e-10,2.5880381865326583e-10,0.0,0.0675262,0.0,52.15944440299998,99.80016888059896,2.846742237931806,0,2.5880403566770475e-10,2.5880403566770475e-10,0.0,0.0675262,0.0,52.15944440299998,99.8002461432097,2.8467422379318053,0,2.588040356484314e-10,2.588040356484314e-10,0.0,0.0675262,0.0,52.15944440299998
9,7.764118900989262e-10,0.0,99.80002946220594,2.806860211752227,0,2.5880381872064626e-10,2.5880381872064626e-10,0.0,0.07577585,0.0,52.15944440299998,99.80016888059896,2.8068602117522294,0,2.588040356987766e-10,2.588040356987766e-10,0.0,0.07577585,0.0,52.15944440299998,99.8002461432097,2.8068602117522286,0,2.5880403567950324e-10,2.5880403567950324e-10,0.0,0.07577585,0.0,52.15944440299998
10,4.901960679440923e-10,0.017530603568915993,99.80098881807486,2.817956307011149,0,2.4509803566277345e-10,2.4509803566277345e-10,0.0920748503,0.06871465,0.0,52.15944440299998,99.80243970466954,2.809629270199494,0,-0.017530603568915993,-0.017530603568915993,0.0920748503,0.06871465,0.0,52.15944440299998,99.80251696728138,2.81795630701115,0,2.450980322813188e-10,2.450980322813188e-10,0.0920748503,0.06871465,0.0,52.15944440299998
11,0.0,0.21230966370778315,99.81164803075814,2.848863615396433,0,-0.07171213204677078,-0.07171213204677078,0.21392514969999998,0.077145,0.0,52.15944440299998,99.82230558043476,2.841351826815594,0,-0.06999581998189423,-0.06999581998189423,0.21392514969999998,0.077145,0.0,52.15944440299998,99.82802659423048,2.8493910650710688,0,-0.07060171167911815,-0.07060171167911815,0.21392514969999998,0.077145,0.0,52.15944440299998
12,4.901960776094618e-10,0.2776641216023223,99.81522452947945,3.0243090482678547,0,2.4509803887009736e-10,2.4509803887009736e-10,0.4680349058,0.0986761,0.0,52.15944440299998,99.83613605988164,3.0167972596870163,0,2.450980387393645e-10,2.450980387393645e-10,0.4680349058,0.0986761,0.0,52.15944440299998,99.85840920377862,2.892946040064966,0,-0.2776641216023223,-0.2776641216023223,0.4680349058,0.0986761,0.0,52.15944440299998
13,2.450980389724474e-10,0.7247861423713339,99.83969311815613,3.126161296388804,0,-0.3481563086822119,-0.3481563086822119,0.7289650942,0.166383,0.0,52.15944440299998,99.86800829452689,3.1051245834296832,0,-0.37662983368912195,-0.37662983368912195,0.7289650942,0.166383,0.0,52.15944440299998,99.86808555713873,3.1601725349263874,0,2.450980389724474e-10,2.450980389724474e-10,0.7289650942,0.166383,0.0,52.15944440299998
14,2.450980386469577e-10,0.3230801886568322,99.81770990711203,3.1710969594297347,0,-0.14951785552435645,-0.14951785552435645,0.9407108014000001,0.69659155,0.0,45.24909600599998,99.83083356057914,3.1386391196067573,0,-0.17356233313247574,-0.17356233313247574,0.9407108014000001,0.69659155,0.0,45.24909600599998,99.83091082319098,3.276129179457809,0,2.450980386469577e-10,2.450980386469577e-10,0.9407108014000001,0.69659155,0.0,45.24909600599998
15,1.6006402556354934e-10,0.6806678155697561,99.83727875890118,3.68097647024275,0,8.003201277867715e-11,8.003201277867715e-11,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974,99.8883390813695,3.6485186304197725,0,8.003201278487219e-11,8.003201278487219e-11,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974,99.9428274862417,3.462691477837175,0,-0.6806678155697561,-0.6806678155697561,1.183289199,0.10985865,-4.611647573193253e-16,41.677291415999974
16,1.6006402552366308e-10,0.7763170052090785,99.84251312573741,4.309794122380766,0,8.003201276000933e-11,8.003201276000933e-11,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965,99.90072898442467,3.9085857050454598,0,-0.7763170052090785,-0.7763170052090785,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965,99.90080624704972,4.091509129975191,0,8.003201276365375e-11,8.003201276365375e-11,1.414093236,0.0902666,-4.415265895244627e-16,40.787984935999965
17,0.0,3.0425665841602534,99.9665328031049,4.511105698393258,0,-1.0904604197631762,-1.0904604197631762,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956,100.11270969885582,4.177814630133207,0,-0.9474765269731659,-0.9474765269731659,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956,100.19309492500602,4.3335903275988334,0,-1.0046296374239112,-1.0046296374239112,1.627906764,0.1136325,-4.211207573435962e-16,38.557429464999956
18,0.0,3.424151236131582,99.98741488328797,4.712417275077516,0,-1.2176553053489305,-1.2176553053489305,1.795807801,0.15433865,0.0,36.32687399399995,100.15262273156408,4.4470435571499145,0,-1.0746714099121937,-1.0746714099121937,1.795807801,0.15433865,0.0,36.32687399399995,100.24317564705876,4.575671526910366,0,-1.131824520870458,-1.131824520870458,1.795807801,0.15433865,0.0,36.32687399399995
19,0.0,4.113344084943937,100.02513070926827,4.913728851447654,0,-1.447386254010237,-1.447386254010237,1.9481921990000002,0.0769921,0.0,36.32687399399995,100.22471100000992,4.716272483115038,0,-1.3044023601260575,-1.3044023601260575,1.9481921990000002,0.0769921,0.0,36.32687399399996,100.33362812063993,4.817752725301736,0,-1.361555470807643,-1.361555470807643,1.9481921990000002,0.0769921,0.0,36.32687399399995
20,0.0,3.7027028578610657,100.00265851866487,5.1939384059341265,1,-1.2850391554858225,-1.2850391554858225,2.0673026329999997,0.0654829,0.12686572596370801,36.73187436203694,100.18366387284355,5.041976718475301,1,-1.189260879962055,-1.189260879962055,2.0673026329999997,0.0654829,0.12686572596370804,36.73187436203695,100.2819370530289,5.12486453799771,1,-1.2284028224131882,-1.2284028224131882,2.0673026329999997,0.0654829,0.12686572596370804,36.73187436203694
21,0.0,4.13717604292503,100.02643490443153,5.476267885233306,1,-1.4313468570162018,-1.4313468570162018,2.149197367,0.088126,0.03534665882762855,37.13687599980545,100.22899797971843,5.3710172854901295,1,-1.3330077249832541,-1.3330077249832541,2.149197367,0.088126,0.03534665882762855,37.136875999805454,100.33881567971589,5.434993580439938,1,-1.3728214609255744,-1.3728214609255744,2.149197367,0.088126,0.03534665882762922,37.136875999805454
