Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
1,0.0,0.0,99.8000294622484,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999,99.80016888068015,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999,99.80024614331158,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999
2,0.0,0.0,99.8000294622484,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999,99.80016888068015,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999,99.80024614331158,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999
3,0.0,0.0,99.8000294622484,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999,99.80016888068015,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999,99.80024614331158,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999
4,0.0,0.0,99.8000294622484,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995,99.80016888068015,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995,99.80024614331158,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995
5,0.0,0.0,99.8000294622484,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995,99.80016888068015,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995,99.80024614331158,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995
6,0.0,0.0,99.8000294622484,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995,99.80016888068015,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995,99.80024614331158,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995
7,0.0,0.0,99.8000294622484,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995,99.80016888068015,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995,99.80024614331158,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995
8,0.0,0.0,99.8000294622484,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995,99.80016888068015,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995,99.80024614331158,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995
9,0.0,0.0,99.8000294622484,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995,99.80016888068015,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995,99.80024614331158,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995
10,0.0,0.07008060089999998,99.8038645974398,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995,99.8074991789766,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995,99.80944380649913,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995
11,0.0,0.4103404491000052,99.82248519288692,2.8068602105263154,0,-0.13678014970000527,-0.13678014970000527,0.21392514969999998,0.077145,0.0,52.159444402999995,99.84308971549571,2.8068602105263154,0,-0.13678014969999996,-0.13678014969999996,0.21392514969999998,0.077145,0.0,52.159444402999995,99.85410089333631,2.8068602105263154,0,-0.13678014969999996,-0.13678014969999996,0.21392514969999998,0.077145,0.0,52.159444402999995
12,0.0,0.8289452099769461,99.8453931849576,2.894582926903814,0,-0.18467940290000281,-0.18467940290000281,0.4680349058,0.0986761,0.0,52.159444402999995,99.89373026543483,2.85172481767477,0,-0.2749070012769376,-0.2749070012769376,0.4680349058,0.0986761,0.0,52.159444402999995,99.9233332880046,2.8068602105263154,0,-0.36935880580000563,-0.36935880580000563,0.4680349058,0.0986761,0.0,52.159444402999995
13,0.0,0.8438731413000087,99.84621011052641,2.894582926903814,0,-0.5625820942000058,-0.5625820942000058,0.7289650942,0.166383,0.0,52.159444402999995,99.86739297201477,2.9853380650472685,0,-0.28129104710000286,-0.28129104710000286,0.7289650942,0.166383,0.0,52.159444402999995,99.8674702346462,3.0740867052713154,0,0.0,0.0,0.7289650942,0.166383,0.0,52.159444402999995
14,0.0,0.7323577542000328,99.84010747185098,2.894582926903814,0,-0.24411925140000035,-0.24411925140000035,0.9407108014000001,0.69659155,0.0,45.249096005999995,99.87677211651244,2.9853380650472685,0,-0.24411925140000124,-0.24411925140000124,0.9407108014000001,0.69659155,0.0,45.24909600599998,99.89636375459663,3.0740867052713154,0,-0.24411925140003116,-0.24411925140003116,0.9407108014000001,0.69659155,0.0,45.24909600599998
