Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,0.0,0.17528595,0.17528595,0.0,0.0,0.0,3.057744236842105,54.38999999999999,0,0.0,0.0,99.80016888068015
2,0.0,0.0,0.0655524,0.0655524,0.0,0.0,0.0,3.0232429736842104,54.38999999999999,0,0.0,0.0,99.80016888068015
3,0.0,0.0,0.0404212,0.0404212,0.0,0.0,0.0,3.0019686578947367,54.38999999999999,0,0.0,0.0,99.80016888068015
4,0.0,0.0,0.0649964,0.0649964,0.0,0.0,0.0,2.9677600263157893,52.159444402999995,0,0.0,0.0,99.80016888068015
5,0.0,0.0,0.0688745,0.0688745,0.0,0.0,0.0,2.931510289473684,52.159444402999995,0,0.0,0.0,99.80016888068015
6,0.0,0.0,0.0450638,0.0450638,0.0,0.0,0.0,2.9077925,52.159444402999995,0,0.0,0.0,99.80016888068015
7,0.0,0.0,0.0484693,0.0484693,0.0,0.0,0.0,2.882282342105263,52.159444402999995,0,0.0,0.0,99.80016888068015
8,0.0,0.0,0.0675262,0.0675262,0.0,0.0,0.0,2.846742236842105,52.159444402999995,0,0.0,0.0,99.80016888068015
9,0.0,0.0,0.07577585,0.07577585,0.0,0.0,0.0,2.8068602105263154,52.159444402999995,0,0.0,0.0,99.80016888068015
10,0.0920748503,0.0,0.0,0.06871465,0.023360200299999995,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.023360200299999995,-0.023360200299999995,99.8074991789766
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014969999996,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.13678014969999996,-0.13678014969999996,99.84308971549571
12,0.4680349058,0.0,0.0,0.0986761,0.2749070012769376,0.0944518045230624,0.0,2.85172481767477,52.159444402999995,0,-0.2749070012769376,-0.2749070012769376,99.89373026543483
13,0.7289650942,0.0,0.0,0.166383,0.28129104710000286,0.2812910470999971,0.0,2.9853380650472685,52.159444402999995,0,-0.28129104710000286,-0.28129104710000286,99.86739297201477
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411925140000124,0.0,0.0,2.9853380650472685,45.24909600599998,0,-0.24411925140000124,-0.24411925140000124,99.87677211651244
15,1.183289199,0.0,0.0,0.10985865,1.0734305490000355,0.0,0.0,2.9853380650472685,41.67729141599998,0,-1.0734305490000355,-1.0734305490000355,100.06748196530691
16,1.414093236,0.0,0.0,0.0902666,0.6619133180000177,0.6619133179999834,0.0,3.2997468910972607,40.787984935999965,0,-0.6619133180000178,-0.6619133180000178,100.05739139992588
17,1.627906764,0.0,0.0,0.1136325,1.5142742640000009,0.0,0.0,3.2997468910972607,38.557429464999956,0,-1.5142742640000009,-1.5142742640000009,100.03999380784168
18,1.795807801,0.0,0.0,0.15433865,1.6414691510000128,0.0,0.0,3.2997468910972607,36.32687399399995,0,-1.6414691510000128,-1.6414691510000128,100.3152525857315
19,1.9481921990000002,0.0,0.0,0.0769921,1.871200099000013,0.0,0.0,3.2997468910972607,36.32687399399995,0,-1.871200099000013,-1.871200099000013,100.38734085360343
20,2.0673026329999997,0.0,0.0,0.0654829,2.0018197329999996,0.0,0.0,3.2997468910972607,36.32687399399995,0,-2.0018197329999996,-2.0018197329999996,100.4283285535502
21,2.149197367,0.0,0.0,0.088126,2.0610713670000003,0.0,0.0,3.2997468910972607,36.32687399399995,0,-2.0610713670000003,-2.0610713670000003,100.44692138007547
22,2.186708495,0.0,0.0,0.07861145,1.568640661911339,0.0,0.539456383088661,3.2997468910972607,44.426873993999955,1,-1.568640661911339,-1.568640661911339,100.29239941912145
23,2.187291505,0.0,0.0,0.05977,1.678206947413266,0.0,0.44931455758673433,3.2997468910972607,52.526873993999956,1,-1.678206947413266,-1.678206947413266,100.32678069777697
24,2.1437015390000003,0.0,0.0,0.07346845,1.6232915303204942,0.0,0.446941558679506,3.2997468910972607,60.62687399399996,1,-1.6232915303204942,-1.6232915303204942,100.30954855151136
25,2.077298461,0.0,0.0,0.1105467,1.584814220313039,0.0,0.3819375406871591,3.2997468910971666,67.35054816499999,1,-1.584814220313039,-1.584814220313039,100.29747458997085
