Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,0.0,0.17528595,0.17528595,0.0,0.0,0.0,3.057744236842105,54.38999999999999,0,0.0,0.0,99.8000294622484
2,0.0,0.0,0.0655524,0.0655524,0.0,0.0,0.0,3.0232429736842104,54.38999999999999,0,0.0,0.0,99.8000294622484
3,0.0,0.0,0.0404212,0.0404212,0.0,0.0,0.0,3.0019686578947367,54.38999999999999,0,0.0,0.0,99.8000294622484
4,0.0,0.0,0.0649964,0.0649964,0.0,0.0,0.0,2.9677600263157893,52.159444402999995,0,0.0,0.0,99.8000294622484
5,0.0,0.0,0.0688745,0.0688745,0.0,0.0,0.0,2.931510289473684,52.159444402999995,0,0.0,0.0,99.8000294622484
6,0.0,0.0,0.0450638,0.0450638,0.0,0.0,0.0,2.9077925,52.159444402999995,0,0.0,0.0,99.8000294622484
7,0.0,0.0,0.0484693,0.0484693,0.0,0.0,0.0,2.882282342105263,52.159444402999995,0,0.0,0.0,99.8000294622484
8,0.0,0.0,0.0675262,0.0675262,0.0,0.0,0.0,2.846742236842105,52.159444402999995,0,0.0,0.0,99.8000294622484
9,0.0,0.0,0.07577585,0.07577585,0.0,0.0,0.0,2.8068602105263154,52.159444402999995,0,0.0,0.0,99.8000294622484
10,0.0920748503,0.0,0.0,0.06871465,0.023360200299999995,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.023360200299999995,-0.023360200299999995,99.8038645974398
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014970000527,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.13678014970000527,-0.13678014970000527,99.82248519288692
12,0.4680349058,0.0,0.0,0.0986761,0.18467940290000281,0.1846794028999972,0.0,2.894582926903814,52.159444402999995,0,-0.18467940290000281,-0.18467940290000281,99.8453931849576
13,0.7289650942,0.0,0.0,0.166383,0.5625820942000058,0.0,0.0,2.894582926903814,52.159444402999995,0,-0.5625820942000058,-0.5625820942000058,99.84621011052641
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411925140000035,0.0,0.0,2.894582926903814,45.249096005999995,0,-0.24411925140000035,-0.24411925140000035,99.84010747185098
15,1.183289199,0.0,0.0,0.10985865,1.073430549000035,0.0,0.0,2.894582926903814,41.677291415999996,0,-1.073430549000035,-1.073430549000035,99.94688719538428
16,1.414093236,0.0,0.0,0.0902666,0.0,1.323826636000002,0.0,3.5234005790038148,40.787984935999965,0,0.0,0.0,99.90869835322174
17,1.627906764,0.0,0.0,0.1136325,0.7642742640000011,0.75,0.0,3.8796505790038145,38.557429464999956,0,-0.7642742640000011,-0.7642742640000011,99.92550334894898
18,1.795807801,0.0,0.0,0.15433865,1.6414691510000001,0.0,0.0,3.8796505790038145,36.32687399399995,0,-1.6414691510000001,-1.6414691510000001,100.06951585473418
19,1.9481921990000002,0.0,0.0,0.0769921,1.871200099000013,0.0,0.0,3.8796505790038145,36.32687399399995,0,-1.871200099000013,-1.871200099000013,100.10723168045112
20,2.0673026329999997,0.0,0.0,0.0654829,2.0018197330000125,0.0,0.0,3.8796505790038145,36.32687399399995,0,-2.0018197330000125,-2.0018197330000125,100.12867601520023
21,2.149197367,0.0,0.0,0.088126,2.0610713670000056,0.0,0.0,3.8796505790038145,36.32687399399995,0,-2.0610713670000056,-2.0610713670000056,100.13840358704394
22,2.186708495,0.0,0.0,0.07861145,1.568640661911339,0.0,0.539456383088661,3.8796505790038145,44.426873993999955,1,-1.568640661911339,-1.568640661911339,100.0575593176389
23,2.187291505,0.0,0.0,0.05977,1.678206947413266,0.0,0.44931455758673433,3.8796505790038145,52.526873993999956,1,-1.678206947413266,-1.678206947413266,100.075547242054
24,2.1437015390000003,0.0,0.0,0.07346845,1.6232915303204942,0.0,0.446941558679506,3.8796505790038145,60.62687399399996,1,-1.6232915303204942,-1.6232915303204942,100.06653156385188
25,2.077298461,0.0,0.0,0.1105467,1.5848142203130418,0.0,0.3819375406871591,3.879650579003719,67.35054816499999,1,-1.5848142203130418,-1.5848142203130418,100.06021459380088
26,1.996236854,0.0,0.0,0.12049215,1.8757447040000126,0.0,0.0,3.879650579003719,67.35054816499999,0,-1.8757447040000126,-1.8757447040000126,100.02589083590655
27,1.860263146,0.0,0.0,0.1580569,1.702206246,0.0,0.0,3.879650579003719,67.35054816499999,0,-1.702206246,-1.702206246,100.0794873005037
28,1.686531921,0.0,0.0,0.1665776,1.5199543210000002,0.0,0.0,3.879650579003719,67.35054816499999,0,-1.5199543210000002,-1.5199543210000002,100.04956629116772
