Case,Description,Objective,Real_Time_sec,CPU_Time_sec,MIP_Gap,Total_Household_Cost,DR_Period_Net_Power
Case1_NoDR,DRなし：電力コスト + ペナルティ,-155.1401738267112,0.1512737274169922,0.33084024700000003,8.542924540654395e-05,-155.14017382671113,-24.292717264953968
Case2_DownDR,下げDR：電力コスト + (買電-売電) + ペナルティ,-192.76667482147693,0.12887072563171387,0.22675110600000004,0.0013818928475266457,-152.29960343609025,-40.46707138538661
Case3_UpDR,上げDR：電力コスト - (買電-売電) + ペナルティ,-152.1999423098638,0.10566401481628418,0.16481188699999905,0.000913257038064165,-152.1999423080663,1.7974884133437224e-09
