Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_H,V_DN
1,0.0,0.0,0.17528595,0.17528595,0.0,0.0,0.0,3.057744236842105,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
2,0.0,0.0,0.0655524,0.0655524,0.0,0.0,0.0,3.0232429736842104,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
3,0.0,0.0,0.0404212,0.0404212,0.0,0.0,0.0,3.0019686578947367,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
4,0.0,0.0,0.0649964,0.0649964,0.0,0.0,0.0,2.9677600263157893,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
5,0.0,0.0,0.0688745,0.0688745,0.0,0.0,0.0,2.931510289473684,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
6,0.0,0.0,0.0450638,0.0450638,0.0,0.0,0.0,2.9077925,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
7,0.0,0.0,0.0484693,0.0484693,0.0,0.0,0.0,2.882282342105263,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
8,0.0,0.0,0.0675262,0.0675262,0.0,0.0,0.0,2.846742236842105,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
9,0.0,0.0,0.07577585,0.07577585,0.0,0.0,0.0,2.8068602105263154,52.159444402999995,0,0.0,0.0,99.79975030501866,99.79975030501866
10,0.0920748503,0.0,0.0,0.06871465,0.023360200299999995,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.023360200299999995,-0.023360200299999995,99.79055237052434,99.79055237052434
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014969999996,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.13678014969999996,-0.13678014969999996,99.74589396642101,99.74589396642101
12,0.4680349058,0.0,0.0,0.0986761,0.3693588058000001,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.3693588058000001,-0.3693588058000001,99.65431755799489,99.65431755799489
13,0.7289650942,0.0,0.0,0.166383,0.5625820941999999,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.5625820941999999,-0.5625820941999999,99.57823708237134,99.57823708237134
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411925140000032,0.0,0.0,2.8068602105263154,45.249096005999995,0,-0.24411925140000032,-0.24411925140000032,99.70362985851789,99.70362985851789
15,1.183289199,0.0,0.0,0.10985865,1.073430549000001,0.0,0.0,2.8068602105263154,41.677291415999974,0,-1.073430549000001,-1.073430549000001,99.37709366050679,99.37709366050679
16,1.414093236,0.0,0.0,0.0902666,1.3238266360000002,0.0,0.0,2.8068602105263154,40.78798493599997,0,-1.3238266360000002,-1.3238266360000002,99.27850174878141,99.27850174878141
17,1.627906764,0.0,0.0,0.1136325,0.014274264000001313,1.5,0.0,3.5193602105263153,38.557429464999956,0,-0.014274264000001313,-0.014274264000001313,99.79412990178832,99.79412990178832
18,1.795807801,0.0,0.0,0.15433865,1.6414691510000001,0.0,0.0,3.5193602105263153,36.32687399399995,0,-1.6414691510000001,-1.6414691510000001,99.15343197163625,99.15343197163625
19,1.9481921990000002,0.0,0.0,0.0769921,1.8712000990000004,0.0,0.0,3.5193602105263153,36.32687399399995,0,-1.8712000990000004,-1.8712000990000004,99.0629768306747,99.0629768306747
20,2.0673026329999997,0.0,0.0,0.0654829,2.001819733,0.0,0.0,3.5193602105263153,36.32687399399995,0,-2.001819733,-2.001819733,99.01154615705987,99.01154615705987
21,2.149197367,0.0,0.0,0.088126,0.011753723937268812,1.5,0.5493176430627315,4.231860210526316,44.426873993999955,1,-0.011753723937268812,-0.011753723937268812,99.79512234886029,99.79512234886029
22,2.186708495,0.0,0.0,0.07861145,1.275345788642248,0.4058858725728542,0.4268653837848979,4.424655999998421,52.06809871766662,1,-1.275345788642248,-1.275345788642248,99.2975907828008,99.2975907828008
23,2.187291505,0.0,0.0,0.05977,1.7029193340459943,0.0,0.42460217095400593,4.424655999998421,59.70932344133331,1,-1.7029193340459943,-1.7029193340459943,99.1292363418444,99.1292363418444
24,2.1437015390000003,0.0,0.0,0.07346845,1.6478695128508283,0.0,0.42236357614917197,4.424655999998421,67.35054816499998,1,-1.6478695128508283,-1.6478695128508283,99.15091186871383,99.15091186871383
25,2.077298461,0.0,0.0,0.1105467,1.9667517609999998,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.9667517609999998,-1.9667517609999998,99.02535395430318,99.02535395430318
26,1.996236854,0.0,0.0,0.12049215,1.8757447040000002,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.8757447040000002,-1.8757447040000002,99.06118742054315,99.06118742054315
27,1.860263146,0.0,0.0,0.1580569,1.7022062459999998,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.7022062459999998,-1.7022062459999998,99.12951711585539,99.12951711585539
28,1.686531921,0.0,0.0,0.1665776,1.5199543210000006,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.5199543210000006,-1.5199543210000006,99.20127768494679,99.20127768494679
29,1.494968079,0.0,0.0,0.1304515,1.364516579,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.364516579,-1.364516579,99.26248033520247,99.26248033520247
30,1.305648859,0.0,0.0,0.14734695,1.158301909,0.0,0.0,4.424655999998421,67.35054816499998,0,-1.158301909,-1.158301909,99.34367608703994,99.34367608703994
31,1.0703511410000002,0.0,0.0,0.0855128,0.9848383410000001,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.9848383410000001,-0.9848383410000001,99.41197629487755,99.41197629487755
32,0.8373392128,0.0,0.0,0.0582132,0.7791260128,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.7791260128,-0.7791260128,99.49297425273586,99.49297425273586
33,0.5846607871999999,0.0,0.0,0.24111635,0.34354443719999994,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.34354443719999994,-0.34354443719999994,99.66448180608975,99.66448180608975
34,0.35288815970000004,0.0,0.0,0.1182751,0.23461305970000004,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.23461305970000004,-0.23461305970000004,99.70737286274833,99.70737286274833
35,0.17361184030000001,0.0,0.0,0.1521216,0.02149024030000002,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.02149024030000002,-0.02149024030000002,99.79128865571735,99.79128865571735
36,0.019920731709999997,0.0,0.15088941829,0.17081015,0.0,0.0,0.0,4.345240516687895,67.35054816499999,0,0.0,0.0,99.79975030501866,99.79975030501866
37,0.007079268293,0.0,0.16182658170699998,0.16890585,0.0,0.0,0.0,4.260068631578947,67.35054816499999,0,0.0,0.0,99.79975030501866,99.79975030501866
38,0.0,0.0,0.2009106,0.2009106,0.0,0.0,0.0,4.154326210526316,67.35054816499999,0,0.0,0.0,99.79975030501866,99.79975030501866
39,0.0,0.0,0.1788513,0.1788513,0.0,0.0,0.0,4.060193947368421,67.35054816499999,0,0.0,0.0,99.79975030501866,99.79975030501866
40,0.0,0.0,0.1290128500000005,0.12901285,0.0,0.0,0.0,3.9922924473684205,63.09354028199999,0,0.0,0.0,99.79975030501866,99.79975030501866
41,0.0,0.0,0.13862469999999938,0.1386247,0.0,0.0,0.0,3.919332078947368,60.19236018899999,0,0.0,0.0,99.79975030501866,99.79975030501866
42,0.0,0.0,0.09885680000000008,0.0988568,0.0,0.0,0.0,3.867302184210526,58.851111069999995,0,0.0,0.0,99.79975030501866,99.79975030501866
43,0.0,0.0,0.12177095,0.12177095,0.0,0.0,0.0,3.8032122105263153,55.279306479999995,0,0.0,0.0,99.79975030501866,99.79975030501866
44,0.0,0.0,0.11041465,0.11041465,0.0,0.0,0.0,3.7450992368421048,55.279306479999995,0,0.0,0.0,99.79975030501866,99.79975030501866
45,0.0,0.0,0.1011086,0.1011086,0.0,0.0,0.0,3.691884184210526,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
46,0.0,0.0,0.184175,0.184175,0.0,0.0,0.0,3.5949499736842103,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
47,0.0,0.0,0.4060885,0.4060885,0.0,0.0,0.0,3.381219184210526,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
48,0.0,0.0,0.43931645,0.43931645,0.0,0.0,0.0,3.15,54.38999999999999,0,0.0,0.0,99.79975030501866,99.79975030501866
