Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_H,V_DN
1,0.0,0.0,0.17528595,0.17528595,0.0,0.0,0.0,3.057744236842105,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
2,0.0,0.0,0.0655524,0.0655524,0.0,0.0,0.0,3.0232429736842104,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
3,0.0,0.0,0.0404212,0.0404212,0.0,0.0,0.0,3.0019686578947367,54.38999999999999,0,0.0,0.0,99.79982624690957,99.79982624690957
4,0.0,0.0,0.0649964,0.0649964,0.0,0.0,0.0,2.9677600263157893,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
5,0.0,0.0,0.0688745,0.0688745,0.0,0.0,0.0,2.931510289473684,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
6,0.0,0.0,0.0450638,0.0450638,0.0,0.0,0.0,2.9077925,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
7,0.0,0.0,0.0484693,0.0484693,0.0,0.0,0.0,2.882282342105263,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
8,0.0,0.0,0.0675262,0.0675262,0.0,0.0,0.0,2.846742236842105,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
9,0.0,0.0,0.07577585,0.07577585,0.0,0.0,0.0,2.8068602105263154,52.159444402999995,0,0.0,0.0,99.79982624690957,99.79982624690957
10,0.0920748503,0.0,0.0,0.06871465,0.023360200299999995,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.023360200299999995,-0.023360200299999995,99.79249573308815,99.79249573308815
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014969999996,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.13678014969999996,-0.13678014969999996,99.7569041501383,99.7569041501383
12,0.4680349058,0.0,0.0,0.0986761,0.3693588058000001,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.3693588058000001,-0.3693588058000001,99.68392014181579,99.68392014181579
13,0.7289650942,0.0,0.0,0.166383,0.5625820941999999,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.5625820941999999,-0.5625820941999999,99.62328598765403,99.62328598765403
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411925140000032,0.0,0.0,2.8068602105263154,45.249096005999995,0,-0.24411925140000032,-0.24411925140000032,99.72322075879376,99.72322075879376
15,1.183289199,0.0,0.0,0.10985865,1.073430549000001,0.0,0.0,2.8068602105263154,41.677291415999974,0,-1.073430549000001,-1.073430549000001,99.46297992818212,99.46297992818212
16,1.414093236,0.0,0.0,0.0902666,1.3238266360000002,0.0,0.0,2.8068602105263154,40.78798493599997,0,-1.3238266360000002,-1.3238266360000002,99.38440474676187,99.38440474676187
17,1.627906764,0.0,0.0,0.1136325,0.014274264000001313,1.5,0.0,3.5193602105263153,38.557429464999956,0,-0.014274264000001313,-0.014274264000001313,99.79534693216914,99.79534693216914
18,1.795807801,0.0,0.0,0.15433865,1.6414691510000001,0.0,0.0,3.5193602105263153,36.32687399399995,0,-1.6414691510000001,-1.6414691510000001,99.28472739739934,99.28472739739934
19,1.9481921990000002,0.0,0.0,0.0769921,1.8712000990000004,0.0,0.0,3.5193602105263153,36.32687399399995,0,-1.8712000990000004,-1.8712000990000004,99.21263700999265,99.21263700999265
