Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,2.450983780753555e-10,0.1752859497549016,0.17528595,0.0,0.0,0.0,3.0577442369711045,54.38999999999999,0,2.450983780753555e-10,2.450983780753555e-10,99.80016888060327
2,0.0,2.450983777738042e-10,0.06555239975490162,0.0655524,0.0,0.0,0.0,3.0232429739422075,54.38999999999999,0,2.450983777738042e-10,2.450983777738042e-10,99.80016888060327
3,0.0,0.0,1.0158021087927316,0.0404212,0.9753809087927316,0.0,0.0,2.488610285103928,54.38999999999999,0,-0.9753809087927316,-0.9753809087927316,99.9265146965
4,0.0,2.4509837776968623e-10,0.06499639975490162,0.0649964,0.0,0.0,0.0,2.4544016536539797,52.159444402999995,0,2.4509837776968623e-10,2.4509837776968623e-10,99.80016888060327
5,0.0,2.4509837779702507e-10,0.06887449975490163,0.0688745,0.0,0.0,0.0,2.4181519169408734,52.159444402999995,0,2.4509837779702507e-10,2.4509837779702507e-10,99.80016888060327
6,0.0,2.4509837755502894e-10,0.04506379975490162,0.0450638,0.0,0.0,0.0,2.3944341275961887,52.159444402999995,0,2.4509837755502894e-10,2.4509837755502894e-10,99.80016888060327
7,0.0,2.4509837760419216e-10,0.04846929975490162,0.0484693,0.0,0.0,0.0,2.368923969830451,52.15944440299998,0,2.4509837760419216e-10,2.4509837760419216e-10,99.80016888060327
8,0.0,2.45098377787876e-10,0.06752619975490162,0.0675262,0.0,0.0,0.0,2.3333838646962923,52.15944440299998,0,2.45098377787876e-10,2.45098377787876e-10,99.80016888060327
9,0.0,2.450983778387616e-10,0.07577584975490163,0.07577585,0.0,0.0,0.0,2.293501838509502,52.15944440299998,0,2.450983778387616e-10,2.450983778387616e-10,99.80016888060327
10,0.0920748503,0.0,0.0,0.06871465,0.023360190684722736,9.615277258429034e-09,0.0,2.2935018430767586,52.15944440299998,0,-0.023360190684722736,-0.023360190684722736,99.80749917613477
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014457179813,5.128201835402635e-09,0.0,2.2935018455126546,52.15944440299998,0,-0.13678014457179813,-0.13678014457179813,99.94538531078946
12,0.4680349058,0.0,0.0,0.0986761,0.36935879618462397,9.61537605093099e-09,0.0,2.293501850079958,52.15944440299998,0,-0.36935879618462397,-0.36935879618462397,99.91607157516825
13,0.7289650942,0.0,0.0,0.166383,0.5625820845846233,9.615376606042503e-09,0.0,2.293501854647262,52.15944440299998,0,-0.5625820845846233,-0.5625820845846233,99.97670394662076
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411924178484004,9.61516030684173e-09,0.0,2.293501859214463,45.24909600599998,0,-0.24411924178484004,-0.24411924178484004,99.87677211367064
15,1.183289199,0.0,0.0,0.10985865,1.0734305438718192,5.1281809909653475e-09,-4.611647573193253e-16,2.2935018616503493,41.677291415999974,0,-1.0734305438718192,-1.0734305438718192,100.2190542554046
16,1.414093236,0.0,0.0,0.0902666,1.3238266263846874,9.615313212307797e-09,-4.415265895244627e-16,2.293501866217623,40.787984935999965,0,-1.3238266263846874,-1.3238266263846874,100.21557816414814
17,1.627906764,0.0,0.0,0.1136325,1.514274254384689,9.615311880040167e-09,-4.211207573435962e-16,2.293501870784896,38.557429464999956,0,-1.514274254384689,-1.514274254384689,100.27533954911766
18,1.795807801,0.0,0.0,0.15433865,1.6414691413846243,9.615375828886386e-09,0.0,2.2935018753521996,36.32687399399995,0,-1.6414691413846243,-1.6414691413846243,100.31525258288963
19,1.9481921990000002,0.0,0.0,0.0769921,1.8712000893846248,9.615375384797176e-09,0.0,2.293501879919503,36.32687399399995,0,-1.8712000893846248,-1.8712000893846248,100.38734085076156
20,2.0673026329999997,0.0,0.0,0.0654829,2.0018197233846244,9.61537516275257e-09,0.0,2.2935018844868065,36.32687399399995,0,-2.0018197233846244,-2.0018197233846244,100.4283285507084
21,2.149197367,0.0,0.0,0.088126,2.061071357384621,9.61537915955546e-09,0.0,2.2935018890541117,36.32687399399995,0,-2.061071357384621,-2.061071357384621,100.44692137723361
22,2.186708495,0.0,0.0,0.07861145,2.108097035384621,9.61537915955546e-09,0.0,2.293501893621417,36.32687399399995,0,-2.108097035384621,-2.108097035384621,100.46167776814237
23,2.187291505,0.0,0.0,0.05977,2.127521497307696,7.692304127004945e-09,0.0,2.293501897275261,36.326873993999946,0,-2.127521497307696,-2.127521497307696,100.53608774971406
24,2.1437015390000003,0.0,0.0,0.07346845,2.070233079384621,9.61537915955546e-09,0.0,2.293501901842567,36.326873993999946,0,-2.070233079384621,-2.070233079384621,100.44979627360892
25,2.077298461,0.0,0.0,0.1105467,1.9667517513846247,9.61537516275257e-09,0.0,2.29350190640987,36.326873993999946,0,-1.9667517513846247,-1.9667517513846247,100.41732442008833
26,1.996236854,8.567544448107925e-11,0.0,0.12049215,0.0,1.3161473284733591,0.5595973756123164,2.9186718874347153,44.42687300919611,1,8.567544448107925e-11,8.567544448107925e-11,99.80016888065326
27,1.860263146,8.566323508276383e-11,0.0,0.1580569,0.0,1.2328825727934747,0.4693236732921887,3.504291109511615,52.52687192609481,1,8.566323508276383e-11,8.566323508276383e-11,99.80016888065326
28,1.686531921,8.565102741390629e-11,0.0,0.1665776,0.0,1.0498017792868284,0.47015254179882293,4.002946954672859,60.6268707224319,1,8.565102741390629e-11,8.565102741390629e-11,99.80016888065326
29,1.494968079,8.5543309124876e-11,0.0,0.1304515,0.0,0.9890863463049314,0.375430232780612,4.472762969167702,66.94554753761285,1,8.5543309124876e-11,8.5543309124876e-11,99.80016888065332
30,1.305648859,8.554330910888915e-11,0.0,0.14734695,0.0,1.1217194382843771,0.03658247080116622,5.005579702352781,67.35054817465792,1,8.554330910888915e-11,8.554330910888915e-11,99.80016888065332
31,1.0703511410000002,8.55433091075322e-11,0.0,0.0855128,0.0,0.9848383410855435,0.0,5.473377914368414,67.35054817465792,0,8.55433091075322e-11,8.55433091075322e-11,99.80016888065332
32,0.8373392128,8.554330910966547e-11,0.0,0.0582132,0.0,0.7791260128855434,0.0,5.843462770489047,67.35054817465792,0,8.554330910966547e-11,8.554330910966547e-11,99.80016888065332
33,0.5846607871999999,0.0,0.0,0.24111635,0.343544427584624,9.615375939908688e-09,0.0,5.843462775056351,67.35054817465792,0,-0.343544427584624,-0.343544427584624,99.90797117278544
34,0.35288815970000004,0.0,0.0,0.1182751,0.23461305457179826,5.128201779891484e-09,0.0,5.843462777492246,67.35054817465792,0,-0.23461305457179826,-0.23461305457179826,99.97021823567896
35,0.17361184030000001,0.0,0.0,0.1521216,0.021490230684731694,9.615268324603132e-09,0.0,5.843462782059499,67.35054817465792,0,-0.021490230684731694,-0.021490230684731694,99.80691239329789
