Metric,Value
Case,Case3_UpDR
Description,上げDR：電力コスト - (買電-売電) + ペナルティ
Objective Value,-152.1999423098638
Real Time,0.10566401481628418
CPU Time,0.16481188699999905
MIP Gap,0.000913257038064165
Variables,4140
Constraints,3714
Total Household Cost,-152.1999423080663
DR Period Net Power,1.7974884133437224e-09
